time,patched_value_cfs,proxy_sum_q_cfs,proxy_adjusted_q_cfs
2020-08-20,1036.7199792704803,1083.4,1036.7199792704803
2020-08-21,1001.5199792704802,1048.2,1001.5199792704802
2020-08-22,965.5199792704802,1012.2,965.5199792704802
2020-08-23,964.0199792704802,1010.7,964.0199792704802
2020-08-24,966.5199792704802,1013.2,966.5199792704802
2020-08-25,962.3199792704802,1009.0,962.3199792704802
2020-08-26,977.8199792704802,1024.5,977.8199792704802
2020-08-27,966.6199792704801,1013.3,966.6199792704801
2020-08-28,966.71997927048,1013.4,966.71997927048
2020-08-29,890.8199792704802,937.5,890.8199792704802
2020-08-30,868.0199792704802,914.7,868.0199792704802
2020-08-31,849.21997927048,895.9,849.21997927048
2020-09-01,823.21997927048,869.9,823.21997927048
2020-09-02,822.6199792704801,869.3,822.6199792704801
2020-09-03,890.71997927048,937.4,890.71997927048
2020-09-04,913.8199792704802,960.5,913.8199792704802
2020-09-05,902.1199792704801,948.8,902.1199792704801
2020-09-06,899.9199792704801,946.6,899.9199792704801
2020-09-07,913.0199792704802,959.7,913.0199792704802
2020-09-08,912.21997927048,958.9,912.21997927048
2020-09-09,834.6199792704801,881.3,834.6199792704801
2020-09-10,945.3199792704802,992.0,945.3199792704802
2020-09-11,980.3199792704802,1027.0,980.3199792704802
2020-09-12,909.3199792704802,956.0,909.3199792704802
2020-09-13,881.3199792704802,928.0,881.3199792704802
2020-09-14,875.3199792704802,922.0,875.3199792704802
2020-09-15,845.3199792704802,892.0,845.3199792704802
2020-09-16,749.5199792704802,796.2,749.5199792704802
2020-09-17,705.8199792704802,752.5,705.8199792704802
2020-09-18,735.1199792704801,781.8,735.1199792704801
2020-09-19,750.4199792704801,797.1,750.4199792704801
2020-09-20,738.3199792704802,785.0,738.3199792704802
2020-09-21,736.5199792704802,783.2,736.5199792704802
2020-09-22,741.3199792704802,788.0,741.3199792704802
2020-09-23,759.71997927048,806.4,759.71997927048
2020-09-24,748.3199792704802,795.0,748.3199792704802
2020-09-25,739.71997927048,786.4,739.71997927048
2020-09-26,731.4199792704801,778.1,731.4199792704801
2020-09-27,725.71997927048,772.4,725.71997927048
2020-09-28,720.4199792704801,767.1,720.4199792704801
2020-09-29,719.6199792704801,766.3,719.6199792704801
2020-09-30,722.5199792704802,769.2,722.5199792704802
2020-10-01,723.4199792704801,770.1,723.4199792704801
2020-10-02,728.4199792704801,775.1,728.4199792704801
2020-10-03,732.4199792704801,779.1,732.4199792704801
2020-10-04,736.3199792704802,783.0,736.3199792704802
2020-10-05,737.5199792704802,784.2,737.5199792704802
2020-10-06,738.8199792704802,785.5,738.8199792704802
