dam_safety_frac_days_within_storage_bounds,esa_min_flow_frac_days_met,flooding_frac_days_met,spr_curve_mean_abs_error_cfs,spr_curve_frac_days_within_500cfs,spr_freq_years_meeting_10000cfs_5d,spr_freq_years_meeting_8000cfs_10d,spr_freq_years_meeting_5000cfs_21d,spr_freq_years_meeting_2500cfs_10d,hydropower_frac_of_max_possible,storage_frac_of_max_possible,niip_frac_days_demand_met_in_window,niip_annual_volume_frac_of_contract,niip_mean_abs_daily_error_cfs,controlled_sj_waste_af,controlled_sj_waste_frac_of_sj,controlled_sj_unattributed_af,controlled_sj_unattributed_frac_of_sj,policy_dam_safety_score,policy_esa_score,policy_spr_score,policy_niip_contract_score,policy_niip_behavior_score,policy_niip_score,policy_storage_score,policy_hydropower_score,policy_flooding_score,policy_efficiency_score,policy_objective_alignment_score,policy_experiment_diagnostic_score,policy_overall_score,policy_viability_score,spill_days,spill_frac_days,total_spill_af,scenario,inflow_scale,inflow_change_pct
0.6867594023699124,0.74317362184441,1.0,2119.4734275656074,0.1590909090909091,0.0,0.0,0.0,0.5454545454545454,0.08497841639852943,0.2353023792511513,0.9092185223655276,1.1295693596179652,132.82725731429116,102814.83436330647,0.05623960617115496,102814.83436330647,0.05623960617115496,1.0,0.74317362184441,0.04999999999999999,1.0,0.9682264828279347,0.9682264828279347,0.2768263285307662,0.24279547542436983,1.0,0.9250138584384601,0.7219581579949695,0.642102427558764,0.7219581579949695,0.642102427558764,0.0,0.0,0.0,inflow_scale_0.5x,0.5,-50.0
0.8377125193199382,0.86913961875322,0.9997422680412371,2195.5854655856438,0.15151515151515152,0.0,0.09090909090909091,0.0,0.5454545454545454,0.12056562995537265,0.3473371671572006,0.9515292170828188,1.1919676369062069,107.27741357240775,148527.47510779585,0.06280465773570203,148527.47510779585,0.06280465773570203,1.0,0.86913961875322,0.060909090909090885,1.0,0.9830352259789865,0.9830352259789865,0.40863196136141244,0.34447322844392186,0.9997422680412371,0.9162604563523973,0.7546584256744773,0.6906907580886587,0.7546584256744773,0.6906907580886587,0.0,0.0,0.0,inflow_scale_0.6x,0.6,-40.0
1.0,0.9389489953632149,0.9997422680412371,2245.385855749024,0.1534090909090909,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.16496392602703255,0.5140290806770853,0.9670145817203416,1.1699698965747216,91.62960534695698,182110.9720925473,0.06548827959283346,182110.9720925473,0.06548827959283346,1.0,0.9389489953632149,0.2427272727272727,1.0,0.9884551036021196,0.9884551036021196,0.604740094914218,0.47132550293437875,0.9997422680412371,0.912682293876222,0.8103040653064273,0.768053672378724,0.8103040653064273,0.768053672378724,0.0,0.0,0.0,inflow_scale_0.7x,0.7,-30.000000000000004
1.0,0.9471921689850592,0.9997422680412371,2367.5712762919793,0.1268939393939394,0.09090909090909091,0.18181818181818182,0.0,0.6363636363636364,0.20496167337321494,0.6392294632848103,0.9677825610765337,1.0930648590791818,60.85205381429648,377685.51001765986,0.11640818330243458,377685.51001765986,0.11640818330243458,1.0,0.9471921689850592,0.329090909090909,1.0,0.9887238963767868,0.9887238963767868,0.7520346626880122,0.5856047810663284,0.9997422680412371,0.8447890889300872,0.836219592996995,0.8074722136147306,0.836219592996995,0.8074722136147306,0.0,0.0,0.0,inflow_scale_0.8x,0.8,-19.999999999999996
1.0,0.9577537351880474,0.9997422680412371,2355.241815046981,0.12878787878787878,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.24681840011258135,0.7031492650119979,0.965194856322151,1.0617095823036713,50.77242608805658,749945.3495016563,0.20032223986719236,749945.3495016563,0.20032223986719236,1.0,0.9577537351880474,0.5336363636363636,1.0,0.9878181997127529,0.9878181997127529,0.8272344294258799,0.7051954288930896,0.9997422680412371,0.7329036801770769,0.8846251787212165,0.8638119874967373,0.8846251787212165,0.8638119874967373,0.0,0.0,0.0,inflow_scale_0.9x,0.9,-9.999999999999998
1.0,0.967284904688305,0.9997422680412371,2346.571371252639,0.14204545454545456,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.3025808277058512,0.7425503053981773,0.9644288038898446,1.046757025828008,45.88267366214872,1328625.356063894,0.30022689328558927,1328625.356063894,0.30022689328558927,1.0,0.967284904688305,0.5336363636363636,1.0,0.9875500813614456,0.9875500813614456,0.8735885945860911,0.8645166505881463,0.9997422680412371,0.5996974756192144,0.898321651423393,0.878266075327301,0.898321651423393,0.878266075327301,0.0,0.0,0.0,inflow_scale_1.0x,1.0,0.0
0.9652241112828439,0.9716640906749099,0.9984536082474227,2337.532909224054,0.16098484848484848,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.34716915001829995,0.7730260105883924,0.964148717848218,1.0415593915987686,44.043790290947385,1912444.234045024,0.3790686348856008,1912444.234045024,0.3790686348856008,0.7141123069488429,0.9716640906749099,0.6245454545454545,1.0,0.9874520512468763,0.9874520512468763,0.9094423653981087,0.9919118571951427,0.9984536082474227,0.49457515348586567,0.8394828519499121,0.8500172904951558,0.8394828519499121,0.8500172904951558,35.0,0.009015971148892323,100084.99022816774,inflow_scale_1.1x,1.1,10.000000000000009
0.9544049459041731,0.9783616692426584,0.9912371134020619,2345.1022994223827,0.1590909090909091,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.3818884508392629,0.7950382351289346,0.9639873796131955,1.0405792796731617,43.0114053721898,2295746.445188271,0.4180708907986518,2295746.445188271,0.4180708907986518,0.4014639249954003,0.9783616692426584,0.5336363636363636,1.0,0.9873955828646184,0.9873955828646184,0.9353391001516878,1.0,0.9912371134020619,0.4425721456017976,0.7303149336982622,0.77326727383308,0.7303149336982622,0.77326727383308,87.0,0.02241112828438949,372720.9580608378,inflow_scale_1.2x,1.2,19.999999999999996
0.9441009788768676,0.984286450283359,0.9853092783505155,2300.967859827396,0.1553030303030303,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.4156974592403259,0.8116001308879026,0.9640282800925929,1.0397328461780186,41.89470882840114,2714602.4672265593,0.4555123221126335,2714602.4672265593,0.4555123221126335,0.28560275493346715,0.984286450283359,0.5336363636363636,1.0,0.9874098980324075,0.9874098980324075,0.9548236833975325,1.0,0.9853092783505155,0.3926502371831554,0.6961982049082779,0.7529349256343986,0.6961982049082779,0.7529349256343986,116.0,0.029881504379185988,625341.696400089,inflow_scale_1.3x,1.3,30.000000000000004
0.9204018547140649,0.9868624420401855,0.9814432989690721,2236.9115224473103,0.1553030303030303,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.8181818181818182,0.44789162137232136,0.8239448066201863,0.9638997096129096,1.040826571427135,41.545293207958736,3117903.097267583,0.48538009822873557,3117903.097267583,0.48538009822873557,0.22116535898593062,0.9868624420401855,0.5881818181818181,1.0,0.9873648983645184,0.9873648983645184,0.9693468313178663,1.0,0.9814432989690721,0.3528265356950192,0.6870493028258269,0.7527217515947308,0.6870493028258269,0.7527217515947308,141.0,0.03632148377125193,880375.9374717616,inflow_scale_1.4x,1.4,39.99999999999999
0.9090674909840288,0.9884080370942813,0.9737113402061855,2203.604407415302,0.16098484848484848,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.9090909090909091,0.4771795914471662,0.8341159614006716,0.9632121683932107,1.043619383777561,41.980345400439674,3460467.172407319,0.5079484270513547,3460467.172407319,0.5079484270513547,0.057187017001545604,0.9884080370942813,0.4972727272727273,1.0,0.9871242589376237,0.9871242589376237,0.981312895765496,1.0,0.9737113402061855,0.32273543059819376,0.6208925957498792,0.7028152646480945,0.6208925957498792,0.7028152646480945,183.0,0.04714064914992272,1209930.2838721795,inflow_scale_1.5x,1.5,50.0
0.9003091190108191,0.990726429675425,0.9672680412371134,2172.543795982281,0.16666666666666666,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.9090909090909091,0.504471398019579,0.8427864313041756,0.9623540703409619,1.0465024407238182,42.57824552296952,3792803.4888410475,0.5279888635487661,3792803.4888410475,0.5279888635487661,0.0,0.990726429675425,0.4972727272727273,1.0,0.9868239246193367,0.9868239246193367,0.9915134485931478,1.0,0.9672680412371134,0.2960148486016453,0.6036782818666114,0.6924793632346683,0.6036782818666114,0.6924793632346683,211.0,0.05435342606903658,1558288.706643952,inflow_scale_1.6x,1.6,60.00000000000001
0.8928387429160227,0.994332818134982,0.9590206185567011,2151.8691547998237,0.16666666666666666,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.9090909090909091,0.5309532091471699,0.8507947676064818,0.9617153124758712,1.0502267972804258,43.42446482762277,4131801.856301175,0.5476781607750029,4131801.856301175,0.5476781607750029,0.0,0.994332818134982,0.4972727272727273,1.0,0.9866003593665549,0.9866003593665549,1.0,1.0,0.9590206185567011,0.2697624522999962,0.603720896383166,0.6935922118826879,0.603720896383166,0.6935922118826879,236.0,0.060793405461102526,1914732.6065888153,inflow_scale_1.7x,1.7,70.0
