date,dam_safety,flood_safety,niip_delivery,hydropower,esa_min_flow,storage,spring_peak_release
2014-03-09,0,0,3,0.252461367,2.45011119,1.59169386,-0.05
2014-03-10,0,0,3,0.253796377,2.45041969,1.59375627,-0.05
2014-03-11,0,0,3,0.246338733,2.44853985,1.59586725,-0.05
2014-03-12,0,0,3,0.211243605,2.43878922,1.59861243,-0.05
2014-03-13,0,0,3,0.208803722,2.43802648,1.60096588,-0.05
2014-03-14,0,0,3,0.220212065,2.44138627,1.60368325,-0.05
2014-03-15,0,0,3,0.205182672,2.4368647,1.60585776,-0.05
2014-03-16,0,0,3,0.209019423,2.43802648,1.60779925,-0.05
2014-03-17,0,0,3,0.211605847,2.43878922,1.60995148,-0.05
2014-03-18,0,0,3,0.235595948,2.44558671,1.61177499,-0.05
2014-03-19,0,0,3,0.253307712,2.45011119,1.61383253,-0.05
2014-03-20,0,0,3,0.25840556,2.4513339,1.61533146,-0.05
2014-03-21,0,0,3,0.252167874,2.44980078,1.61699366,-0.05
2014-03-22,0,0,3,0.271145797,2.45426207,1.61873466,-0.05
2014-03-23,0,0,3,0.27501657,2.45510591,1.62087402,-0.05
2014-03-24,0,0,3,0.251123119,2.44948845,1.62270647,-0.05
2014-03-25,0,0,3,0.266332292,2.45311241,1.62446953,-0.05
2014-03-26,0,0,3,0.272695779,2.45454509,1.62579297,-0.05
2014-03-27,0,0,3,0.21975744,2.44102206,1.62800235,-0.05
2014-03-28,0,0,3,0.175609703,2.4267602,1.62981365,-0.05
2014-03-29,0,0,3,0.247671844,2.44853985,1.63168035,-0.05
2014-03-30,0,0,3,0.264131681,2.45252686,1.63262581,-0.05
2014-03-31,0,0,3,0.24778365,2.44853985,1.63469148,-0.05
2014-04-01,0,0,3,0.251595988,2.44948845,1.63524304,-0.05
2014-04-02,0,0,3,0.255440269,2.45041969,1.63661415,-0.05
2014-04-03,0,0,3,0.242873613,2.4472475,1.63869097,-0.05
2014-04-04,0,0,3,0.237895041,2.44592297,1.64093799,-0.05
2014-04-05,0,0,3,0.28599486,2.4572813,1.64163648,-0.05
2014-04-06,0,0,3,0.332833651,2.46605577,1.64231713,-0.05
2014-04-07,0,0,3,0.346779631,2.46830023,1.64290588,-0.05
2014-04-08,0,0,3,0.353062272,2.46927101,1.64209172,-0.05
2014-04-09,0,0,3,0.363399433,2.47076307,1.64609929,-0.05
2014-04-10,0,0,3,0.332025753,2.46584405,1.65154476,-0.05
2014-04-11,0,0,3,0.116694341,2.40212204,1.65599935,-0.05
2014-04-12,0,0,3,0,0,1.66235392,-0.05
2014-04-13,0,0,3,0,0,1.66775546,-0.05
2014-04-14,0,0,3,0,0,1.67331354,-0.05
2014-04-15,0,0,-0.0237344885,0,0,1.6789547,-0.05
2014-04-16,0,0,-0.0338922194,0.0547718626,2.36775034,1.6839106,-0.05
2014-04-17,0,0,3,0.0446103041,2.3611119,1.68817395,-0.05
2014-04-18,0,0,3,0.0408201924,2.35853932,1.69373832,-0.05
2014-04-19,0,0,3,0,0,1.70076616,-0.05
2014-04-20,0,0,3,0,0,1.70871148,-0.05
2014-04-21,0,0,3,0,0,1.71726073,-0.05
2014-04-22,0,0,3,0,0,1.72481878,-0.05
2014-04-23,0,0,3,0,0,1.73241254,-0.05
2014-04-24,0,0,3,0,0,1.73985898,-0.05
2014-04-25,0,0,3,0,0,1.74647043,-0.05
2014-04-26,0,0,3,0,0,1.75271627,-0.05
2014-04-27,0,0,-0.141159494,0,0,1.75843113,-0.05
2014-04-28,0,0,-0.111597445,0,0,1.76287107,-0.05
2014-04-29,0,0,-0.0684324626,0,0,1.76709274,-0.05
2014-04-30,0,0,3,0,0,1.77104101,-0.05
2014-05-01,0,0,3,0,0,1.77391387,-0.05
2014-05-02,0,0,3,0.067129985,2.37484738,1.77604866,-0.05
2014-05-03,0,0,3,0.089105394,2.38724808,1.77848176,-0.05
2014-05-04,0,0,3,0,0,1.78197513,-0.05
2014-05-05,0,0,3,0,0,1.7866993,-0.05
2014-05-06,0,0,3,0,0,1.7919825,-0.05
2014-05-07,0,0,3,0,0,1.7989581,-0.05
2014-05-08,0,0,3,0,0,1.80563959,-0.05
2014-05-09,0,0,3,1.05345976,0,1.80643673,16.498819
2014-05-10,0,0,3,1.12182067,0,1.8038302,16.487059
2014-05-11,0,0,3,1.12122843,0,1.80079763,16.482899
2014-05-12,0,0,-0.211581306,1.12135951,0,1.80079746,16.488019
2014-05-13,0,0,-0.163960725,1.12100371,0,1.79942065,16.482739
2014-05-14,0,0,3,1.12037641,0,1.79626729,16.477979
2014-05-15,0,0,3,1.11944064,0,1.79107143,16.473979
2014-05-16,0,0,3,1.11845865,0,1.78512665,16.472899
2014-05-17,0,0,3,1.11783747,0,1.78083941,16.475539
2014-05-18,0,0,3,1.1175524,0,1.777747,16.483819
2014-05-19,0,0,3,1.00632864,0,1.77871259,-1.936
2014-05-20,0,0,3,0.456494229,0,1.78434055,-1.424
2014-05-21,0,0,3,0,0,1.79294727,-1
2014-05-22,0,0,3,0,0,1.80422794,-1
2014-05-23,0,0,3,0.12979194,0,1.81411691,-1.12
2014-05-24,0,0,3,0.017333734,0,1.82473851,-1.016
2014-05-25,0,0,-0.0694218656,0.19087532,0,1.83359598,-1.176
2014-05-26,0,0,-0.179131812,0.442822871,0,1.84090233,-1.408
2014-05-27,0,0,3,0.495263393,0,1.84623117,-1.456
2014-05-28,0,0,3,0,0,1.85647621,-1
2014-05-29,0,0,3,1.13129289,0,1.86349832,7.5762269
2014-05-30,0,0,3,0.915801747,0,1.87663089,7.5954269
2014-05-31,0,0,3,0.664235056,0,1.88966512,7.6070269
2014-06-01,0,-0.125,3,1.13337743,0,1.89098904,38.1673895
2014-06-02,0,-0.125,-0.126869907,1.13365664,0,1.89231405,38.1701895
2014-06-03,0,-0.125,3,1.13324736,0,1.89087793,38.1629895
2014-06-04,0,-0.125,3,1.13241391,0,1.88691553,38.1545895
2014-06-05,0,-0.125,3,1.13143437,0,1.88126885,38.1505895
2014-06-06,0,-0.125,3,1.12993336,0,1.87254817,38.1449895
2014-06-07,0,-0.125,3,1.12815334,0,1.86272756,38.1349895
2014-06-08,0,0,3,1.13041376,0,1.86129955,11.4735556
2014-06-09,0,0,3,1.1291857,0,1.85689098,11.4527556
2014-06-10,0,0,3,1.12768569,0,1.84979853,11.4379556
2014-06-11,0,0,3,1.12653278,0,1.84207279,11.4407556
2014-06-12,0,0,3,1.12548511,0,1.83477139,11.4451556
2014-06-13,0,0,3,1.12424977,0,1.82688904,11.4459556
2014-06-14,0,0,3,1.12293579,0,1.8183988,11.4475556
2014-06-15,0,0,3,1.12114516,0,1.8087348,11.4379556
2014-06-16,0,0,3,1.11907978,0,1.79724528,11.4291556
2014-06-17,0,0,3,1.11706142,0,1.78530421,11.4251556
2014-06-18,0,0,3,1.11476703,0,1.77154215,11.4219556
2014-06-19,0,0,3,0.781686164,0,1.76805425,-1.728
2014-06-20,0,0,3,0,0,1.76799249,0.3
2014-06-21,0,0,3,0.763976711,0,1.76312434,-1.712
2014-06-22,0,0,3,0,0,1.76207206,0.3
2014-06-23,0,0,3,0,0,1.76145181,0.3
2014-06-24,0,0,3,0,0,1.7604402,0.3
2014-06-25,0,0,3,0,0,1.75898567,0.3
2014-06-26,0,0,3,0,0,1.75733569,-0.0634920635
2014-06-27,0,0,3,0,0,1.75544925,-0.0634920635
2014-06-28,0,0,3,0,0,1.7535593,-0.0634920635
2014-06-29,0,0,3,0,0,1.75242968,-0.0634920635
2014-06-30,0,0,3,0,0,1.75107979,-0.0634920635
2014-07-01,0,0,3,0,0,1.74947732,-0.0634920635
2014-07-02,0,0,3,0,0,1.74739969,-0.0634920635
2014-07-03,0,0,3,0,0,1.74559462,-0.0634920635
2014-07-04,0,0,3,0,0,1.74402336,-0.0634920635
2014-07-05,0,0,3,0,0,1.74321942,-0.0634920635
2014-07-06,0,0,3,0,0,1.74240659,-0.0634920635
2014-07-07,0,0,3,0,0,1.74159896,-0.0634920635
2014-07-08,0,0,3,0,0,1.74135813,-0.0634920635
2014-07-09,0,0,3,0,0,1.74029801,-0.0634920635
2014-07-10,0,0,3,0,0,1.73964701,-0.0634920635
2014-07-11,0,0,3,0,0,1.73993498,-0.0634920635
2014-07-12,0,0,3,0,0,1.73917989,-0.0634920635
2014-07-13,0,0,3,0,0,1.73789473,-0.0634920635
2014-07-14,0,0,3,0,0,1.73761315,-0.0634920635
2014-07-15,0,0,3,0,0,1.7384971,-0.0634920635
2014-07-16,0,0,3,0,0,1.74120421,-0.0634920635
2014-07-17,0,0,3,0.0179842871,2.34209674,1.74144668,-0.0634920635
2014-07-18,0,0,3,0.0552262636,2.36775034,1.74032707,-0.0634920635
2014-07-19,0,0,3,0.118118096,2.40212204,1.73843747,-0.0634920635
2014-07-20,0,0,3,0.175821302,2.42584927,1.73605064,-0.0634920635
2014-07-21,0,0,3,0.210367806,2.43725434,1.7328967,-0.0634920635
2014-07-22,0,0,3,0.24232557,2.44625716,1.73000357,-0.0634920635
2014-07-23,0,0,3,0.32166268,2.46342665,1.72726681,-0.0634920635
2014-07-24,0,0,3,0.388013926,2.47353421,1.72267494,-0.0634920635
2014-07-25,0,0,3,0.397997191,2.47482006,1.71825909,-0.0634920635
2014-07-26,0,0,3,0.290372739,2.45754576,1.71447909,-0.0634920635
2014-07-27,0,0,3,0.32729175,2.46454587,1.71106065,-0.0634920635
2014-07-28,0,0,3,0.346287592,2.46770318,1.70763031,-0.0634920635
2014-07-29,0,0,3,0.195469513,2.4328341,1.70525846,-0.0634920635
2014-07-30,0,0,3,0,0,1.70329033,-0.0634920635
2014-07-31,0,0,3,0,0,1.70238122,-0.0634920635
2014-08-01,0,0,3,0.048528819,2.36363869,1.7014827,-0.0634920635
2014-08-02,0,0,3,0,0,1.70037266,-0.0634920635
2014-08-03,0,0,3,0,0,1.6995219,-0.0634920635
2014-08-04,0,0,3,0.0114912066,2.33720752,1.69975142,-0.0634920635
2014-08-05,0,0,3,0,0,1.6996335,-0.0634920635
2014-08-06,0,0,3,0,0,1.69917944,-0.0634920635
2014-08-07,0,0,3,0,0,1.69903233,-0.0634920635
2014-08-08,0,0,3,0.113579143,2.40029739,1.69714745,-0.0634920635
2014-08-09,0,0,3,0.200279265,2.43447603,1.69509438,-0.0634920635
2014-08-10,0,0,3,0.272873422,2.45397731,1.69267932,-0.0634920635
2014-08-11,0,0,3,0.314845409,2.46250603,1.6906931,-0.0634920635
2014-08-12,0,0,3,0.333810412,2.46584405,1.68768368,-0.0634920635
2014-08-13,0,0,3,0.332434006,2.46563102,1.68558926,-0.0634920635
2014-08-14,0,0,3,0.261108908,2.4513339,1.68510646,-0.0634920635
2014-08-15,0,0,3,0.220359447,2.44065561,1.68508155,-0.0634920635
2014-08-16,0,0,3,0.189758985,2.43115146,1.68377183,-0.0634920635
2014-08-17,0,0,3,0.297904329,2.45935194,1.68215527,-0.0634920635
2014-08-18,0,0,3,0.371523881,2.47165874,1.67869874,-0.0634920635
2014-08-19,0,0,3,0.409448139,2.47648708,1.67492388,-0.0634920635
2014-08-20,0,0,3,0.430837778,2.47884962,1.6715265,-0.0634920635
2014-08-21,0,0,3,0.445858458,2.48037334,1.66815946,-0.0634920635
2014-08-22,0,0,3,0.417729271,2.47749017,1.66499239,-0.0634920635
2014-08-23,0,0,3,0.378218227,2.47269756,1.6620232,-0.0634920635
2014-08-24,0,0,3,0.294421035,2.45884382,1.66070106,-0.0634920635
2014-08-25,0,0,3,0.287925108,2.45754576,1.65713853,-0.0634920635
2014-08-26,0,0,3,0.323328678,2.46432479,1.65508762,-0.0634920635
2014-08-27,0,0,3,0.302946465,2.46059511,1.65283498,-0.0634920635
2014-08-28,0,0,3,0.274985004,2.45482636,1.65079526,-0.0634920635
2014-08-29,0,0,3,0.214140522,2.43916709,1.64977197,-0.0634920635
2014-08-30,0,0,3,0.292582693,2.4585874,1.64764535,-0.0634920635
2014-08-31,0,0,3,0.351896759,2.46907925,1.64398246,-0.0634920635
2014-09-01,0,0,3,0.385851484,2.47386168,1.64038366,-0.0634920635
2014-09-02,0,0,3,0.418495135,2.47776885,1.63665984,-0.0634920635
2014-09-03,0,0,3,0.452320484,2.48121111,1.63231562,-0.0634920635
