date,inflow_scale,inflow_change_pct,storage_af,storage_maf
2014-01-01,0.5,-50.0,964695.5157217389,0.964695515721739
2014-01-02,0.5,-50.0,964298.4313645324,0.9642984313645324
2014-01-03,0.5,-50.0,963952.8386362408,0.9639528386362408
2014-01-04,0.5,-50.0,963461.4820475304,0.9634614820475303
2014-01-05,0.5,-50.0,962976.0192722605,0.9629760192722605
2014-01-06,0.5,-50.0,962551.2397331522,0.9625512397331522
2014-01-07,0.5,-50.0,961882.9077247431,0.9618829077247432
2014-01-08,0.5,-50.0,961275.1178392774,0.9612751178392773
2014-01-09,0.5,-50.0,960833.713323073,0.960833713323073
2014-01-10,0.5,-50.0,960395.8306521109,0.9603958306521109
2014-01-11,0.5,-50.0,960035.239790814,0.960035239790814
2014-01-12,0.5,-50.0,959508.5869367142,0.9595085869367143
2014-01-13,0.5,-50.0,959042.6016540843,0.9590426016540843
2014-01-14,0.5,-50.0,958557.2948842482,0.9585572948842481
2014-01-15,0.5,-50.0,958092.0350373953,0.9580920350373953
2014-01-16,0.5,-50.0,957543.7058480318,0.9575437058480318
2014-01-17,0.5,-50.0,957061.9599318228,0.9570619599318229
2014-01-18,0.5,-50.0,956573.993755908,0.956573993755908
2014-01-19,0.5,-50.0,956092.9655909104,0.9560929655909104
2014-01-20,0.5,-50.0,955608.7458692187,0.9556087458692187
2014-01-21,0.5,-50.0,955099.2385936294,0.9550992385936294
2014-01-22,0.5,-50.0,954576.5584171861,0.9545765584171861
2014-01-23,0.5,-50.0,953982.9115810866,0.9539829115810866
2014-01-24,0.5,-50.0,953387.240486602,0.953387240486602
2014-01-25,0.5,-50.0,952891.5322226215,0.9528915322226215
2014-01-26,0.5,-50.0,952313.7951078806,0.9523137951078806
2014-01-27,0.5,-50.0,951677.0470143623,0.9516770470143623
2014-01-28,0.5,-50.0,951148.0732737137,0.9511480732737136
2014-01-29,0.5,-50.0,950592.8110700401,0.9505928110700401
2014-01-30,0.5,-50.0,950061.3753463177,0.9500613753463176
2014-01-31,0.5,-50.0,949640.9127901723,0.9496409127901723
2014-02-01,0.5,-50.0,949293.0773174347,0.9492930773174347
2014-02-02,0.5,-50.0,948878.5342829048,0.9488785342829048
2014-02-03,0.5,-50.0,948323.0758384671,0.9483230758384671
2014-02-04,0.5,-50.0,947767.1041537038,0.9477671041537038
2014-02-05,0.5,-50.0,947266.4779882192,0.9472664779882193
