dam_safety_frac_days_within_storage_bounds,esa_min_flow_frac_days_met,flooding_frac_days_met,spr_curve_mean_abs_error_cfs,spr_curve_frac_days_within_500cfs,spr_freq_years_meeting_10000cfs_5d,spr_freq_years_meeting_8000cfs_10d,spr_freq_years_meeting_5000cfs_21d,spr_freq_years_meeting_2500cfs_10d,hydropower_frac_of_max_possible,storage_frac_of_max_possible,niip_frac_days_demand_met_in_window,niip_annual_volume_frac_of_contract,niip_mean_abs_daily_error_cfs,controlled_sj_waste_af,controlled_sj_waste_frac_of_sj,controlled_sj_unattributed_af,controlled_sj_unattributed_frac_of_sj,policy_dam_safety_score,policy_esa_score,policy_spr_score,policy_niip_contract_score,policy_niip_behavior_score,policy_niip_score,policy_storage_score,policy_hydropower_score,policy_flooding_score,policy_efficiency_score,policy_objective_alignment_score,policy_experiment_diagnostic_score,policy_overall_score,policy_viability_score,spill_days,spill_frac_days,total_spill_af,scenario,inflow_scale,inflow_change_pct
0.30422462648119525,0.5515198351365276,0.9783616692426584,2184.012779586432,0.15151515151515152,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.9090909090909091,0.07787597810671294,0.10288851137105799,0.6704592848944886,0.7112410550706726,239.8949002353857,724621.3119312979,0.26034034246469934,724621.3119312979,0.26034034246469934,1.0,0.5515198351365276,0.7936363636363638,0.7112410550706726,0.6969674355090082,0.6969674355090082,0.12104530749536235,0.22250279459060843,0.9783616692426584,0.6528795433804009,0.7670709979921484,0.6805724807975795,0.7670709979921484,0.6805724807975795,0.0,0.0,0.0,inflow_scale_0.5x,0.5,-50.0
0.5103039670273055,0.678516228748068,0.9781040700669758,2155.838267917451,0.15151515151515152,0.18181818181818182,0.45454545454545453,0.5454545454545454,1.0,0.10313429188590242,0.18650924893446214,0.8144711049238118,0.9365800140302443,165.82838594031773,504808.7366663983,0.16822159057071193,504808.7366663983,0.16822159057071193,1.0,0.678516228748068,0.6118181818181819,0.9365800140302443,0.893841895842993,0.893841895842993,0.2194226458052496,0.29466940538829267,0.9781040700669758,0.7757045459057175,0.8037256551685024,0.722416199635137,0.8037256551685024,0.722416199635137,0.0,0.0,0.0,inflow_scale_0.6x,0.6,-40.0
0.7478104070066975,0.8534260690365791,0.9809376609994848,2078.188608672592,0.16666666666666666,0.18181818181818182,0.36363636363636365,0.45454545454545453,1.0,0.1596645656853207,0.33835574444899397,0.8921587881267357,1.0480652702375064,107.6008215741147,530676.5636823938,0.15409563871443666,530676.5636823938,0.15409563871443666,1.0,0.8534260690365791,0.7027272727272728,1.0,0.9622555758443575,0.9622555758443575,0.3980655817046988,0.4561844733866306,0.9809376609994848,0.7945391483807511,0.8764122727356649,0.8153444484114176,0.8764122727356649,0.8153444484114176,0.0,0.0,0.0,inflow_scale_0.7x,0.7,-30.000000000000004
1.0,1.0,0.9781040700669758,2109.9557786337805,0.16477272727272727,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.22595233711791282,0.5359483328730631,0.9693608671645353,1.1382945950941037,60.662502939919655,492014.0838687724,0.1300872173888957,492014.0838687724,0.1300872173888957,1.0,1.0,0.7027272727272729,1.0,0.9892763035075873,0.9892763035075873,0.6305274504388978,0.6455781060511795,0.9781040700669758,0.8265503768148057,0.9172761632088617,0.8826375690967696,0.9172761632088617,0.8826375690967696,0.0,0.0,0.0,inflow_scale_0.8x,0.8,-19.999999999999996
1.0,1.0,0.9773312725399279,2115.0100554229334,0.14583333333333334,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.25651043774029864,0.6677470065716553,0.983389859379817,1.0649431142073655,32.62664371973535,664145.5037658006,0.16899683739881324,664145.5037658006,0.16899683739881324,1.0,1.0,0.7027272727272729,1.0,0.994186450782936,0.994186450782936,0.7855847136137122,0.7328869649722819,0.9773312725399279,0.774670883468249,0.9237663678134158,0.9034521279390234,0.9237663678134158,0.9034521279390234,0.0,0.0,0.0,inflow_scale_0.9x,0.9,-9.999999999999998
1.0,1.0,0.9778464708912932,2042.6023788937187,0.16666666666666666,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.30369730638142434,0.7198171095386058,0.9839642616515096,1.055795140017504,30.219458134731298,1209435.5140004756,0.2712655531053643,1209435.5140004756,0.2712655531053643,1.0,1.0,0.7027272727272729,1.0,0.9943874915780284,0.9943874915780284,0.8468436582807127,0.8677065896612124,0.9778464708912932,0.6383125958595142,0.933916479541438,0.9163849717167568,0.933916479541438,0.9163849717167568,0.0,0.0,0.0,inflow_scale_1.0x,1.0,0.0
0.9860896445131375,1.0,0.9711488923235445,2080.7566192039108,0.17424242424242425,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.3479129364043429,0.748073516720194,0.9829381832054864,1.0579510070154556,31.226794964059085,1864770.8565591404,0.36115610219892924,1864770.8565591404,0.36115610219892924,1.0,1.0,0.7027272727272729,1.0,0.9940283641219203,0.9940283641219203,0.8800864902590517,0.9940369611552655,0.9711488923235445,0.5184585304014278,0.9428889390109109,0.9256190690696843,0.9428889390109109,0.9256190690696843,0.0,0.0,0.0,inflow_scale_1.1x,1.1,10.000000000000009
0.9636785162287481,1.0,0.9654817104585265,2113.905153476605,0.1590909090909091,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.37923473651594014,0.7714462053810404,0.9705257340583754,1.0809290598869699,41.07789206824908,2348748.0378809865,0.41057334266762574,2348748.0378809865,0.41057334266762574,0.6734238035630337,1.0,0.7027272727272729,1.0,0.9896840069204313,0.9896840069204313,0.9075837710365181,1.0,0.9654817104585265,0.4525688764431657,0.8449382693532995,0.8621994792687259,0.8449382693532995,0.8621994792687259,32.0,0.00824317362184441,121237.24863491487,inflow_scale_1.2x,1.2,19.999999999999996
0.952344152498712,1.0,0.9631633178773827,2076.622410049154,0.17992424242424243,0.18181818181818182,0.45454545454545453,0.45454545454545453,1.0,0.40945609581252085,0.7945069340550401,0.9586857492127039,1.1045329773788266,51.190264101086974,2828965.392094205,0.45679782686897635,2828965.392094205,0.45679782686897635,0.4331962109461058,1.0,0.6118181818181818,1.0,0.9855400122244464,0.9855400122244464,0.9347140400647531,1.0,0.9631633178773827,0.39093623084136486,0.7560294454579688,0.7977404508980914,0.7560294454579688,0.7977404508980914,72.0,0.01854714064914992,327105.6941010563,inflow_scale_1.3x,1.3,30.000000000000004
0.9358578052550232,1.0,0.9587841318907779,2073.548074299752,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.45454545454545453,1.0,0.4410928154122183,0.8084329840374616,0.9521571579146039,1.1232260751722343,58.885362359038886,3259770.405742841,0.4872027309757896,3259770.405742841,0.4872027309757896,0.32466140221910683,1.0,0.6118181818181818,1.0,0.9832550052701113,0.9832550052701113,0.9510976282793666,1.0,0.9587841318907779,0.35039635869894725,0.7231405638908738,0.7769958872839556,0.7231405638908738,0.7769958872839556,95.0,0.024471921689850594,520033.01991309854,inflow_scale_1.4x,1.4,39.99999999999999
