date,initial_storage_af,initial_storage_maf,storage_af,storage_maf
2014-01-01,0.0,0.0,593.9256198347108,0.0005939256198347108
2014-01-02,0.0,0.0,4.938556230627e-10,4.938556230627e-16
2014-01-03,0.0,0.0,2.688693712116219e-10,2.688693712116219e-16
2014-01-04,0.0,0.0,1.8070522855850868e-10,1.8070522855850868e-16
2014-01-05,0.0,0.0,399.54545454563527,0.00039954545454563525
2014-01-06,0.0,0.0,4.4929038267582655e-10,4.492903826758265e-16
2014-01-07,0.0,0.0,1.7138290786533616e-10,1.7138290786533616e-16
2014-01-08,0.0,0.0,470.9504132233119,0.0004709504132233119
2014-01-09,0.0,0.0,4.263256414560601e-10,4.263256414560601e-16
2014-01-10,0.0,0.0,1.808757588150911e-10,1.808757588150911e-16
2014-01-11,0.0,0.0,657.396694215057,0.000657396694215057
2014-01-12,0.0,0.0,4.611138137988746e-10,4.611138137988746e-16
2014-01-13,0.0,0.0,2.5147528504021466e-10,2.5147528504021466e-16
2014-01-14,0.0,0.0,2.504521035007201e-10,2.504521035007201e-16
2014-01-15,0.0,0.0,2.496562956366688e-10,2.496562956366688e-16
2014-01-16,0.0,0.0,2.0514789866865613e-10,2.0514789866865611e-16
2014-01-17,0.0,0.0,551.2727272729323,0.0005512727272729323
2014-01-18,0.0,0.0,4.984030965715647e-10,4.984030965715647e-16
2014-01-19,0.0,0.0,2.473825588822365e-10,2.473825588822365e-16
2014-01-20,0.0,0.0,2.4726887204451486e-10,2.4726887204451485e-16
2014-01-21,0.0,0.0,2.4135715648299083e-10,2.413571564829908e-16
2014-01-22,0.0,0.0,2.3521806724602357e-10,2.352180672460236e-16
2014-01-23,0.0,0.0,1.9036860976484604e-10,1.9036860976484604e-16
2014-01-24,0.0,0.0,399.52892562002506,0.0003995289256200251
2014-01-25,0.0,0.0,4.516778062679805e-10,4.516778062679805e-16
2014-01-26,0.0,0.0,2.2436097424360923e-10,2.2436097424360923e-16
2014-01-27,0.0,0.0,1.360831447527744e-10,1.3608314475277438e-16
2014-01-28,0.0,0.0,529.4380165290618,0.0005294380165290618
2014-01-29,0.0,0.0,4.711182555183768e-10,4.711182555183768e-16
2014-01-30,0.0,0.0,2.4283508537337184e-10,2.4283508537337183e-16
2014-01-31,0.0,0.0,2.885371941374615e-10,2.8853719413746147e-16
2014-02-01,0.0,0.0,3.353761712787673e-10,3.353761712787673e-16
2014-02-02,0.0,0.0,3.3287506084889174e-10,3.3287506084889174e-16
2014-02-03,0.0,0.0,2.028741619142238e-10,2.028741619142238e-16
2014-02-04,0.0,0.0,484.8016528927649,0.0004848016528927649
2014-02-05,0.0,0.0,4.883986548520625e-10,4.883986548520625e-16
2014-02-06,0.0,0.0,2.369233698118478e-10,2.369233698118478e-16
2014-02-07,0.0,0.0,1.809326022339519e-10,1.8093260223395192e-16
2014-02-08,0.0,0.0,594.8760330580321,0.0005948760330580322
2014-02-09,0.0,0.0,5.379661160986871e-10,5.379661160986871e-16
