dam_safety_frac_days_within_storage_bounds,esa_min_flow_frac_days_met,flooding_frac_days_met,spr_curve_mean_abs_error_cfs,spr_curve_frac_days_within_500cfs,spr_freq_years_meeting_10000cfs_5d,spr_freq_years_meeting_8000cfs_10d,spr_freq_years_meeting_5000cfs_21d,spr_freq_years_meeting_2500cfs_10d,hydropower_frac_of_max_possible,storage_frac_of_max_possible,niip_frac_days_demand_met_in_window,niip_annual_volume_frac_of_contract,niip_mean_abs_daily_error_cfs,controlled_sj_waste_af,controlled_sj_waste_frac_of_sj,controlled_sj_unattributed_af,controlled_sj_unattributed_frac_of_sj,policy_dam_safety_score,policy_esa_score,policy_spr_score,policy_niip_contract_score,policy_niip_behavior_score,policy_niip_score,policy_storage_score,policy_hydropower_score,policy_flooding_score,policy_efficiency_score,policy_objective_alignment_score,policy_experiment_diagnostic_score,policy_overall_score,policy_viability_score,spill_days,spill_frac_days,total_spill_af,initial_storage_af,initial_storage_maf,scenario
0.43894899536321486,0.7985574446161773,0.9775888717156105,2133.756208306006,0.1534090909090909,0.18181818181818182,0.45454545454545453,0.45454545454545453,0.9090909090909091,0.1215153293705065,0.07735321908752675,0.819550551127199,1.0957701941993891,179.47974347617622,1430348.1425433476,0.3236093609751129,1430348.1425433476,0.3236093609751129,1.0,0.7985574446161773,0.7027272727272728,1.0,0.9368426928945197,0.9368426928945197,0.09100378716179618,0.3471866553443043,0.9775888717156105,0.5685208520331828,0.8579270293757929,0.7629646371167694,0.8579270293757929,0.7629646371167694,0.0,0.0,0.0,0.0,0.0,init_storage_0.0maf
0.44719216898505926,0.8068006182380216,0.9775888717156105,2133.756208306006,0.1534090909090909,0.18181818181818182,0.45454545454545453,0.45454545454545453,0.9090909090909091,0.12406177426877452,0.07786860346225483,0.8191506743267069,1.0970207349212993,180.02824013458374,1497298.1845473642,0.33263400925455083,1497298.1845473642,0.33263400925455083,1.0,0.8068006182380216,0.7027272727272728,1.0,0.9367027360143474,0.9367027360143474,0.0916101217202998,0.35446221219649865,0.9775888717156105,0.5564879876605988,0.8599839446370456,0.7650096917635638,0.8599839446370456,0.7650096917635638,0.0,0.0,0.0,100000.0,0.1,init_storage_0.1maf
0.490726429675425,0.8104070066975786,0.9775888717156105,2135.583070447722,0.1571969696969697,0.18181818181818182,0.45454545454545453,0.5454545454545454,0.9090909090909091,0.12981386748013954,0.08130883000672201,0.8393555984776405,1.1302878049310374,171.1847572191226,1511456.838368551,0.33378124486435823,1511456.838368551,0.33378124486435823,1.0,0.8104070066975786,0.7027272727272729,1.0,0.9437744594671742,0.9437744594671742,0.09565744706673178,0.3708967642289701,0.9775888717156105,0.5549583401808558,0.8618777072570664,0.7683717742823074,0.8618777072570664,0.7683717742823074,0.0,0.0,0.0,200000.0,0.2,init_storage_0.2maf
0.52344152498712,0.8194229778464709,0.9775888717156105,2136.6343126525003,0.1571969696969697,0.18181818181818182,0.45454545454545453,0.5454545454545454,0.9090909090909091,0.135879907221218,0.08743554434134865,0.8437277040851683,1.1440432083663141,168.60077440606577,1547325.1759231347,0.33760528032998166,1547325.1759231347,0.33760528032998166,1.0,0.8194229778464709,0.7027272727272729,1.0,0.9453046964298089,0.9453046964298089,0.10286534628393959,0.3882283063463372,0.9775888717156105,0.549859626226691,0.8648305009598324,0.7720683829322019,0.8648305009598324,0.7720683829322019,0.0,0.0,0.0,300000.0,0.3,init_storage_0.3maf
0.6115404430705822,0.8315301391035549,0.9775888717156105,2139.0133504625946,0.1553030303030303,0.18181818181818182,0.45454545454545453,0.5454545454545454,0.9090909090909091,0.15115681830556518,0.10484855970864955,0.8455282992818525,1.1482834253782683,167.3874034319087,1582068.874946088,0.3407746609527731,1582068.874946088,0.3407746609527731,1.0,0.8315301391035549,0.7027272727272729,1.0,0.9459349047486484,0.9459349047486484,0.1233512467160583,0.43187662373018626,0.9775888717156105,0.5456337853963025,0.8703237709940865,0.7788468627597909,0.8703237709940865,0.7788468627597909,0.0,0.0,0.0,400000.0,0.4,init_storage_0.4maf
1.0,1.0,0.9806800618238022,2050.051890001378,0.16287878787878787,0.18181818181818182,0.36363636363636365,0.45454545454545453,1.0,0.23412731777497403,0.5725582437289342,0.9702180518742388,1.127915965594173,55.310247191168315,481414.6571900202,0.12850100810979645,481414.6571900202,0.12850100810979645,1.0,1.0,0.7027272727272728,1.0,0.9895763181559836,0.9895763181559836,0.6735979337987461,0.668935193642783,0.9806800618238022,0.8286653225202714,0.9192211441599939,0.8883012743298553,0.9192211441599939,0.8883012743298553,0.0,0.0,0.0,500000.0,0.5,init_storage_0.5maf
1.0,1.0,0.9775888717156105,2057.399514516458,0.1590909090909091,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.26215555071621,0.6422050540292926,0.9795021007627324,1.0882581627856034,41.62021831959475,729365.269082997,0.183268186463545,729365.269082997,0.183268186463545,1.0,1.0,0.7027272727272729,1.0,0.9928257352669563,0.9928257352669563,0.7555353576815208,0.7490158591891715,0.9775888717156105,0.7556424180486067,0.9249953548178588,0.9009943739122369,0.9249953548178588,0.9009943739122369,0.0,0.0,0.0,600000.0,0.6,init_storage_0.6maf
1.0,1.0,0.9775888717156105,2059.9869988917776,0.1553030303030303,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.27371544521084246,0.670935971652845,0.9821769586697274,1.0718183227773157,36.00460482530773,893597.5554902274,0.21618299346260358,893597.5554902274,0.21618299346260358,1.0,1.0,0.7027272727272729,1.0,0.9937619355344046,0.9937619355344046,0.7893364372386412,0.7820441291738356,0.9775888717156105,0.7117560087165286,0.9274724750667085,0.906213135420672,0.9274724750667085,0.906213135420672,0.0,0.0,0.0,700000.0,0.7,init_storage_0.7maf
1.0,1.0,0.9775888717156105,2054.4895603171726,0.1571969696969697,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.28481481058107533,0.6916474967338025,0.9833627977813584,1.0640103163155297,33.12877005866811,1002878.455639304,0.23524216885276553,1002878.455639304,0.23524216885276553,1.0,1.0,0.7027272727272729,1.0,0.9941769792234754,0.9941769792234754,0.8137029373338853,0.8137566016602152,0.9775888717156105,0.6863437748629793,0.929850910503187,0.9103184177923295,0.929850910503187,0.9103184177923295,0.0,0.0,0.0,800000.0,0.8,init_storage_0.8maf
1.0,1.0,0.9770736733642452,2064.256743207611,0.1571969696969697,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,0.2958007383580848,0.7085720310670337,0.9841277373231626,1.0581921563021666,30.96328320862646,1119571.8411524598,0.2553784880790316,1119571.8411524598,0.2553784880790316,1.0,1.0,0.7027272727272729,1.0,0.9944447080631069,0.9944447080631069,0.8336141541965103,0.8451449667373852,0.9770736733642452,0.6594953492279578,0.9321663980076224,0.9139067435828087,0.9321663980076224,0.9139067435828087,0.0,0.0,0.0,900000.0,0.9,init_storage_0.9maf
