task_id,experiment,seed,status,git_commit,plan_id,window,metric_profile,benchmark_sha256,objective_pass_count,objective_count,all_objectives_passed,policy_total_spill_af,historic_total_spill_af,delta_total_spill_af,margin_total_spill_af,pass_total_spill_af,policy_storage_frac_of_max_possible,historic_storage_frac_of_max_possible,delta_storage_frac_of_max_possible,margin_storage_frac_of_max_possible,pass_storage_frac_of_max_possible,policy_esa_min_flow_frac_days_met,historic_esa_min_flow_frac_days_met,delta_esa_min_flow_frac_days_met,margin_esa_min_flow_frac_days_met,pass_esa_min_flow_frac_days_met,policy_flooding_frac_days_met,historic_flooding_frac_days_met,delta_flooding_frac_days_met,margin_flooding_frac_days_met,pass_flooding_frac_days_met,policy_spr_freq_years_meeting_10000cfs_5d,historic_spr_freq_years_meeting_10000cfs_5d,delta_spr_freq_years_meeting_10000cfs_5d,margin_spr_freq_years_meeting_10000cfs_5d,pass_spr_freq_years_meeting_10000cfs_5d,policy_spr_freq_years_meeting_8000cfs_10d,historic_spr_freq_years_meeting_8000cfs_10d,delta_spr_freq_years_meeting_8000cfs_10d,margin_spr_freq_years_meeting_8000cfs_10d,pass_spr_freq_years_meeting_8000cfs_10d,policy_spr_freq_years_meeting_5000cfs_21d,historic_spr_freq_years_meeting_5000cfs_21d,delta_spr_freq_years_meeting_5000cfs_21d,margin_spr_freq_years_meeting_5000cfs_21d,pass_spr_freq_years_meeting_5000cfs_21d,policy_spr_freq_years_meeting_2500cfs_10d,historic_spr_freq_years_meeting_2500cfs_10d,delta_spr_freq_years_meeting_2500cfs_10d,margin_spr_freq_years_meeting_2500cfs_10d,pass_spr_freq_years_meeting_2500cfs_10d,policy_hydropower_frac_of_max_possible,historic_hydropower_frac_of_max_possible,delta_hydropower_frac_of_max_possible,margin_hydropower_frac_of_max_possible,pass_hydropower_frac_of_max_possible,policy_niip_annual_volume_frac_of_contract,historic_niip_annual_volume_frac_of_contract,delta_niip_annual_volume_frac_of_contract,margin_niip_annual_volume_frac_of_contract,pass_niip_annual_volume_frac_of_contract,flood_agent_flooding_available_days,flood_agent_flooding_frac_days_met,flood_agent_flooding_safe_days,flood_flooding_comparison_days,flood_flooding_comparison_profile,flood_historic_flooding_available_days,flood_historic_flooding_frac_days_met,flood_historic_flooding_safe_days
0,reward_jon_p95_oishift875to90_hsoft,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,5,10,False,298181.6300229137,0.0,298181.6300229137,-298181.6300229137,False,0.8513675225669375,0.6856296239512203,0.1657378986157172,0.1657378986157172,True,0.7323544564657393,0.95801133436373,-0.22565687789799072,-0.22565687789799072,False,0.9927816447538025,0.9997422015983501,-0.006960556844547661,-0.006960556844547661,False,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.36363636363636365,0.2727272727272727,0.09090909090909094,0.09090909090909094,True,0.8181818181818182,0.7272727272727273,0.09090909090909094,0.09090909090909094,True,0.29654102729297227,0.3002375563379423,-0.0036965290449700317,-0.0036965290449700317,False,0.8610209248337968,1.0,-0.13897907516620323,-0.13897907516620323,False,3880,0.9927816447538025,3851,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
1,reward_jon_p95_oishift875to90_heff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,6,10,False,0.0,0.0,0.0,0.0,True,0.5328012828344333,0.6856296239512203,-0.152828341116787,-0.152828341116787,False,0.97655847501288,0.95801133436373,0.018547140649149974,0.018547140649149974,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.0,0.09090909090909091,-0.09090909090909091,-0.09090909090909091,False,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.09090909090909091,0.2727272727272727,-0.1818181818181818,-0.1818181818181818,False,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.2691086261447281,0.3002375563379423,-0.03112893019321422,-0.03112893019321422,False,1.2507577852041494,1.0,0.2507577852041494,0.2507577852041494,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
2,reward_jon_p95_oishift875to90_hdisceff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,8,10,False,0.0,0.0,0.0,0.0,True,0.8030326602432505,0.6856296239512203,0.1174030362920302,0.1174030362920302,True,0.9402369912416281,0.95801133436373,-0.01777434312210191,-0.01777434312210191,False,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.36363636363636365,0.2727272727272727,0.09090909090909094,0.09090909090909094,True,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.2687204728677172,0.3002375563379423,-0.03151708347022508,-0.03151708347022508,False,1.0953747204905377,1.0,0.09537472049053775,0.09537472049053775,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
3,reward_jon_p95_peak875_heff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,9,10,False,0.0,0.0,0.0,0.0,True,0.7519695473054373,0.6856296239512203,0.06633992335421701,0.06633992335421701,True,0.9703760947964967,0.95801133436373,0.012364760432766686,0.012364760432766686,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.36363636363636365,0.2727272727272727,0.09090909090909094,0.09090909090909094,True,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.2863538072907324,0.3002375563379423,-0.013883749047209903,-0.013883749047209903,False,1.0756643821703036,1.0,0.07566438217030358,0.07566438217030358,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
4,reward_jon_p95_peak875_hdisceff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,5,10,False,200971.74790332676,0.0,200971.74790332676,-200971.74790332676,False,0.8381722586202385,0.6856296239512203,0.15254263466901818,0.15254263466901818,True,0.6630602782071098,0.95801133436373,-0.2949510561566202,-0.2949510561566202,False,0.9966486207785512,0.9997422015983501,-0.0030935808197989356,-0.0030935808197989356,False,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.36363636363636365,0.2727272727272727,0.09090909090909094,0.09090909090909094,True,1.0,0.7272727272727273,0.2727272727272727,0.2727272727272727,True,0.273360125183481,0.3002375563379423,-0.026877431154461284,-0.026877431154461284,False,0.9576222977470102,1.0,-0.04237770225298976,-0.04237770225298976,False,3880,0.9966486207785512,3866,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
5,reward_jon_p95_plateau90_96_hsoft,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,5,10,False,134316.32472329494,0.0,134316.32472329494,-134316.32472329494,False,0.8428404863647935,0.6856296239512203,0.15721086241357318,0.15721086241357318,True,0.6687274600721278,0.95801133436373,-0.2892838742916022,-0.2892838742916022,False,0.997164217581851,0.9997422015983501,-0.002577984016499113,-0.002577984016499113,False,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.2727272727272727,0.2727272727272727,0.0,0.0,True,0.9090909090909091,0.7272727272727273,0.18181818181818177,0.18181818181818177,True,0.2806726660865163,0.3002375563379423,-0.019564890251425993,-0.019564890251425993,False,0.9456603758677092,1.0,-0.054339624132290765,-0.054339624132290765,False,3880,0.997164217581851,3868,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
6,reward_jon_p95_plateau90_96_heff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,5,10,False,131298.17159942444,0.0,131298.17159942444,-131298.17159942444,False,0.8127639668074743,0.6856296239512203,0.12713434285625402,0.12713434285625402,True,0.9505409582689336,0.95801133436373,-0.007470376094796394,-0.007470376094796394,False,0.9969064191802011,0.9997422015983501,-0.00283578241814908,-0.00283578241814908,False,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.2727272727272727,0.18181818181818182,0.09090909090909088,0.09090909090909088,True,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.18181818181818182,True,0.9090909090909091,0.7272727272727273,0.18181818181818177,0.18181818181818177,True,0.2830177343873806,0.3002375563379423,-0.01721982195056171,-0.01721982195056171,False,0.9338489380514842,1.0,-0.06615106194851583,-0.06615106194851583,False,3880,0.9969064191802011,3867,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
7,reward_jon_p95_oishift875to90_heff_niip275,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,4,10,False,0.0,0.0,0.0,0.0,True,0.517188097396557,0.6856296239512203,-0.16844152655466327,-0.16844152655466327,False,0.9667697063369397,0.95801133436373,0.008758371973209722,0.008758371973209722,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.0,0.09090909090909091,-0.09090909090909091,-0.09090909090909091,False,0.09090909090909091,0.18181818181818182,-0.09090909090909091,-0.09090909090909091,False,0.0,0.2727272727272727,-0.2727272727272727,-0.2727272727272727,False,0.5454545454545454,0.7272727272727273,-0.18181818181818188,-0.18181818181818188,False,0.22862783516731036,0.3002375563379423,-0.07160972117063194,-0.07160972117063194,False,1.5735421129663827,1.0,0.5735421129663827,0.5735421129663827,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
8,reward_jon_p95_oishift875to90_hsoft,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,7,10,False,0.0,0.0,0.0,0.0,True,0.6987982019333475,0.6856296239512203,0.013168577982127228,0.013168577982127228,True,0.9489953632148377,0.95801133436373,-0.009015971148892299,-0.009015971148892299,False,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.09090909090909091,0.2727272727272727,-0.1818181818181818,-0.1818181818181818,False,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.2534386535870868,0.3002375563379423,-0.04679890275085552,-0.04679890275085552,False,1.2563435811182833,1.0,0.25634358111828326,0.25634358111828326,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
9,reward_jon_p95_oishift875to90_heff,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,holdout_2014_2024_08_17,corrected_phase95_historic_screen_v1,11af0f359546ca6499bfae9140aabdd065d51ec67e688c3529cde423613e044a,9,10,False,0.0,0.0,0.0,0.0,True,0.7074545592153766,0.6856296239512203,0.021824935264156298,0.021824935264156298,True,0.9760432766615147,0.95801133436373,0.01803194229778471,0.01803194229778471,True,0.9997422015983501,0.9997422015983501,0.0,0.0,True,0.09090909090909091,0.09090909090909091,0.0,0.0,True,0.18181818181818182,0.18181818181818182,0.0,0.0,True,0.2727272727272727,0.2727272727272727,0.0,0.0,True,0.7272727272727273,0.7272727272727273,0.0,0.0,True,0.2906149296623515,0.3002375563379423,-0.009622626675590829,-0.009622626675590829,False,1.0523578535019993,1.0,0.052357853501999285,0.052357853501999285,True,3880,0.9997422015983501,3878,3879,archuleta_bluff_common_valid,3881,0.9997422015983501,3878
