task_id,experiment,seed,status,git_commit,plan_id,requested_timesteps,resolved_timesteps,started_at,ended_at,error,compatibility_mismatches
18,reward_jon_p95_oishift875to90_hdisceff,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.373420+00:00,2026-09-17T18:11:58.089741+00:00,,
19,reward_jon_p95_peak875_heff,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.678415+00:00,2026-09-17T18:15:26.462162+00:00,,
20,reward_jon_p95_peak875_hdisceff,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.390413+00:00,2026-09-17T18:21:19.396333+00:00,,
21,reward_jon_p95_plateau90_96_hsoft,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.589250+00:00,2026-09-17T18:19:09.320083+00:00,,
22,reward_jon_p95_plateau90_96_heff,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.391319+00:00,2026-09-17T18:12:20.485638+00:00,,
23,reward_jon_p95_oishift875to90_heff_niip275,2,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.632161+00:00,2026-09-17T18:12:42.002458+00:00,,
24,reward_jon_p95_oishift875to90_hsoft,3,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.483147+00:00,2026-09-17T18:17:13.212727+00:00,,
25,reward_jon_p95_oishift875to90_heff,3,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.585271+00:00,2026-09-17T18:15:28.032548+00:00,,
26,reward_jon_p95_oishift875to90_hdisceff,3,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.681445+00:00,2026-09-17T18:16:34.593969+00:00,,
27,reward_jon_p95_peak875_heff,3,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.475525+00:00,2026-09-17T18:13:47.707123+00:00,,
28,reward_jon_p95_peak875_hdisceff,3,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.681218+00:00,2026-09-17T18:21:13.888995+00:00,,
29,reward_jon_p95_plateau90_96_hsoft,3,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.484012+00:00,2026-09-17T18:13:06.627176+00:00,,
30,reward_jon_p95_plateau90_96_heff,3,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.628025+00:00,2026-09-17T18:19:58.002570+00:00,,
31,reward_jon_p95_oishift875to90_heff_niip275,3,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:46.509598+00:00,2026-09-17T18:19:03.701013+00:00,,
32,reward_jon_p95_oishift875to90_hsoft,4,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.519265+00:00,2026-09-17T18:14:58.261418+00:00,,
33,reward_jon_p95_oishift875to90_heff,4,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:59.482358+00:00,2026-09-17T18:52:16.150605+00:00,,
