date,snow_depth_water_equivalent
1950-01-01,0.09934902441649629
1950-01-02,0.10790952096050689
1950-01-03,0.11946202500995196
1950-01-04,0.1255655924023735
1950-01-05,0.12597041591570204
1950-01-06,0.12622901452874277
1950-01-07,0.12651557403930017
1950-01-08,0.1318374141998558
1950-01-09,0.13719041675414598
1950-01-10,0.14240460458814394
1950-01-11,0.14275798574445805
1950-01-12,0.14470555379260916
1950-01-13,0.1486090519214959
1950-01-14,0.1547932195192839
1950-01-15,0.15930621186019275
1950-01-16,0.16168997038021768
1950-01-17,0.16162254115040606
1950-01-18,0.16161293897686474
1950-01-19,0.16162381821929636
1950-01-20,0.1615904362783885
1950-01-21,0.16149955268727487
1950-01-22,0.16137549122667968
1950-01-23,0.16451517482807365
1950-01-24,0.16972513075126885
1950-01-25,0.17493168118272537
1950-01-26,0.1768671134139884
1950-01-27,0.17735333448001364
1950-01-28,0.18237327519817284
1950-01-29,0.1929629291557499
1950-01-30,0.20377241377236924
1950-01-31,0.21010231421427225
1950-02-01,0.21088607529097017
1950-02-02,0.21094205029562607
1950-02-03,0.21100646471833018
1950-02-04,0.21109323090180135
1950-02-05,0.2112091312132152
1950-02-06,0.2146052017366761
1950-02-07,0.21818803830042047
1950-02-08,0.22160937341297182
1950-02-09,0.22166542208373116
1950-02-10,0.22424044494452808
1950-02-11,0.22797431167012303
1950-02-12,0.23235000739694214
1950-02-13,0.23398573346974483
1950-02-14,0.23451266020052539
1950-02-15,0.23443966475841696
1950-02-16,0.234347041227832
1950-02-17,0.23421002443866804
1950-02-18,0.23403797628620715
1950-02-19,0.23384118960640762
1950-02-20,0.23417154670862286
1950-02-21,0.23448368296885866
1950-02-22,0.2347637970179595
1950-02-23,0.2345170419863629
1950-02-24,0.23431603064471773
1950-02-25,0.23415250274946042
1950-02-26,0.23718481016781487
1950-02-27,0.2410989810007844
1950-02-28,0.2448778303137861
1950-03-01,0.2471376225205221
1950-03-02,0.24864904609541727
1950-03-03,0.25030254156336745
1950-03-04,0.2501920617260549
1950-03-05,0.2502659042714243
1950-03-06,0.2503426651102994
1950-03-07,0.25042368514793617
1950-03-08,0.25039368456087846
1950-03-09,0.25242223393495816
1950-03-10,0.25459020895321877
1950-03-11,0.2593810386014039
1950-03-12,0.2621697889168299
1950-03-13,0.2648629552427655
1950-03-14,0.2646455778812991
1950-03-15,0.2643278529787474
1950-03-16,0.2640033046822
1950-03-17,0.2639468680973533
1950-03-18,0.2637910146464288
1950-03-19,0.26415769923306404
1950-03-20,0.2641445311798636
1950-03-21,0.26411918024848285
1950-03-22,0.2634971161171041
1950-03-23,0.26276204928362007
1950-03-24,0.2621802904544383
1950-03-25,0.2646526823147055
1950-03-26,0.26745162454998
1950-03-27,0.2701921261104571
1950-03-28,0.2698426710044985
1950-03-29,0.26935374152315006
1950-03-30,0.2687030266667962
1950-03-31,0.2675261058005814
1950-04-01,0.2653908916280286
1950-04-02,0.2618219827778285
1950-04-03,0.2581022132623352
1950-04-04,0.25504232583931025
1950-04-05,0.25447466232259736
1950-04-06,0.2532385846149842
1950-04-07,0.2511308446350997
1950-04-08,0.24772622819844045
1950-04-09,0.2458143427811471
1950-04-10,0.2448057895327632
1950-04-11,0.24346481106608434
1950-04-12,0.24165691759357863
1950-04-13,0.23833147794795775
1950-04-14,0.2345552610311111
1950-04-15,0.23166812320151783
1950-04-16,0.22994596807867893
1950-04-17,0.22728704890032855
1950-04-18,0.22210279850017037
1950-04-19,0.21635284935429921
1950-04-20,0.21087789410278704
1950-04-21,0.20440273833707504
1950-04-22,0.19615694414616694
1950-04-23,0.18743703939170073
1950-04-24,0.1804259708830218
1950-04-25,0.1757630761054548
1950-04-26,0.17192970518472275
1950-04-27,0.16759967120807287
1950-04-28,0.16221053283027084
1950-04-29,0.15737694458231277
1950-04-30,0.1532233629360278
1950-05-01,0.14925292372437887
1950-05-02,0.14437925424669928
1950-05-03,0.1402077173131623
1950-05-04,0.13854430352605404
1950-05-05,0.1385608895194641
1950-05-06,0.1385131904707711
1950-05-07,0.13669155627745275
1950-05-08,0.13439308469821526
1950-05-09,0.13222732516619404
1950-05-10,0.13023144190799504
1950-05-11,0.12793246882237355
1950-05-12,0.12488230767807203
1950-05-13,0.1216356586552243
1950-05-14,0.11829796159240862
1950-05-15,0.11492589991854013
1950-05-16,0.11086567053176989
1950-05-17,0.10647496980529265
1950-05-18,0.10242490034428268
1950-05-19,0.09904383743921309
1950-05-20,0.09621142445381796
1950-05-21,0.09341217848344503
1950-05-22,0.0904702021034991
1950-05-23,0.08724898936755332
1950-05-24,0.0839164542833053
1950-05-25,0.08095059289328042
1950-05-26,0.0787146976896624
1950-05-27,0.07692509121061393
1950-05-28,0.07505978740199057
1950-05-29,0.07264866031153647
1950-05-30,0.06927031056587198
1950-05-31,0.06500040213418816
1950-06-01,0.06020547762223769
1950-06-02,0.05562696579116727
1950-06-03,0.052176977334907566
1950-06-04,0.049941297512607
1950-06-05,0.047807164307575735
1950-06-06,0.045077163259985294
1950-06-07,0.04199104011533213
1950-06-08,0.0398761509179082
1950-06-09,0.03851808460986144
1950-06-10,0.03695357677018853
1950-06-11,0.03452840063155207
1950-06-12,0.031742587358243333
1950-06-13,0.029184785590586234
1950-06-14,0.027042628587032297
1950-06-15,0.0247711632062735
1950-06-16,0.022178457937814398
1950-06-17,0.019406118578153265
1950-06-18,0.016811788139051768
1950-06-19,0.014539011569965865
1950-06-20,0.012528491339004902
1950-06-21,0.010510181781024266
1950-06-22,0.008637548403844598
1950-06-23,0.006842960031576733
1950-06-24,0.0053340842184159
1950-06-25,0.003969999150613467
1950-06-26,0.0028746957347788003
1950-06-27,0.0020011807656978332
1950-06-28,0.0013522223961728523
1950-06-29,0.0008816177850314411
1950-06-30,0.0005491621287071718
1950-07-01,0.000327351479650265
1950-07-02,0.00018771231383208603
1950-07-03,0.000108502997368318
1950-07-04,6.155081897433192e-05
1950-07-05,3.449968455210495e-05
1950-07-06,1.911234984690883e-05
1950-07-07,1.0850246603114712e-05
1950-07-08,6.051474944378533e-06
1950-07-09,3.2654843942180113e-06
1950-07-10,1.573592984194363e-06
1950-07-11,7.250854749658315e-07
1950-07-12,3.250265379538016e-07
1950-07-13,1.4930574501520967e-07
1950-07-14,7.11612282418704e-08
1950-07-15,3.2297709458043574e-08
1950-07-16,1.7913653189420174e-08
1950-07-17,9.374305800395726e-09
1950-07-18,5.009750468227676e-09
1950-07-19,3.3398336454851175e-09
1950-07-20,2.5048752341138382e-09
1950-07-21,1.6699168227425585e-09
1950-07-22,8.349584113712789e-10
1950-07-23,-7.345364920210326e-25
1950-07-24,-7.345364920210326e-25
1950-07-25,-7.345364920210326e-25
1950-07-26,-7.345364920210326e-25
1950-07-27,-7.345364920210326e-25
1950-07-28,-7.345364920210326e-25
1950-07-29,-7.345364920210326e-25
1950-07-30,-7.345364920210326e-25
1950-07-31,-7.345364920210326e-25
1950-08-01,-7.345364920210326e-25
1950-08-02,-7.345364920210326e-25
1950-08-03,-7.345364920210326e-25
1950-08-04,-7.345364920210326e-25
1950-08-05,-7.345364920210326e-25
1950-08-06,-7.345364920210326e-25
