Navajo Dam monthly
https://www.eia.gov/electricity/data/browser/#/plant/584/?freq=M&pin=
17:27:35 GMT-0600 (Mountain Daylight Time)
Data source: U.S. Energy Information Administration
Month,Net generation-all primemovers-all fuels megawatthours
Sep 2002,10904.109
Aug 2002,8689.614
Jul 2002,11647.483
Jun 2002,11622.864
May 2002,10511.285
Apr 2002,10070.447
Mar 2002,9991.173
Feb 2002,8509.773
Jan 2002,9233.277
Dec 2001,11859.037
Nov 2001,10378.994
Oct 2001,11487.703
Sep 2001,10914.611
Aug 2001,12120.294
Jul 2001,13932.819
Jun 2001,12751.364
May 2001,13094.592
Apr 2001,9538.111
Mar 2001,10815.249
Feb 2001,11223.781
Jan 2001,12135.446
