dam_safety_frac_days_within_storage_bounds,esa_min_flow_frac_days_met,flooding_frac_days_met,spr_curve_mean_abs_error_cfs,spr_curve_frac_days_within_500cfs,spr_freq_years_meeting_10000cfs_5d,spr_freq_years_meeting_8000cfs_10d,spr_freq_years_meeting_5000cfs_21d,spr_freq_years_meeting_2500cfs_10d,hydropower_frac_of_max_possible,storage_frac_of_max_possible,niip_frac_days_demand_met_in_window,niip_annual_volume_frac_of_contract,niip_mean_abs_daily_error_cfs,controlled_sj_waste_af,controlled_sj_waste_frac_of_sj,controlled_sj_unattributed_af,controlled_sj_unattributed_frac_of_sj,policy_dam_safety_score,policy_esa_score,policy_spr_score,policy_niip_contract_score,policy_niip_behavior_score,policy_niip_score,policy_storage_score,policy_hydropower_score,policy_flooding_score,policy_efficiency_score,policy_objective_alignment_score,policy_experiment_diagnostic_score,policy_overall_score,policy_viability_score,spill_days,spill_frac_days,total_spill_af,initial_storage_af,initial_storage_maf,scenario
0.9721792890262752,0.9381761978361669,1.0,2228.3767444590726,0.1553030303030303,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.2172874032831978,0.5906582093050113,0.9655611101499353,1.1293341057305768,67.02402628245461,622671.6945027281,0.18849909023011918,622671.6945027281,0.18849909023011918,1.0,0.9381761978361669,0.41999999999999993,1.0,0.9879463885524773,0.9879463885524773,0.6948920109470722,0.620821152237708,1.0,0.7486678796931745,0.8538938893544588,0.8197547759843214,0.8538938893544588,0.8197547759843214,0.0,0.0,0.0,0.0,0.0,init_storage_0.0maf
1.0,0.9489953632148377,1.0,2241.195788462204,0.1590909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.22708474516135724,0.6080048898594148,0.9667048280923118,1.1204420452079706,64.53226447288314,681852.8373597704,0.19913536960839348,681852.8373597704,0.19913536960839348,1.0,0.9489953632148377,0.41999999999999993,1.0,0.9883466898323092,0.9883466898323092,0.7152998704228409,0.6488135576038778,1.0,0.7344861738554753,0.8579768334096778,0.8254390755319074,0.8579768334096778,0.8254390755319074,0.0,0.0,0.0,100000.0,0.1,init_storage_0.1maf
1.0,0.9484801648634724,1.0,2271.9369178239745,0.1590909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.23659786414866166,0.628183293197278,0.9668384292278009,1.1126422653291126,62.59320274929365,746710.2228275631,0.2103357514775836,746710.2228275631,0.2103357514775836,1.0,0.9484801648634724,0.41999999999999993,1.0,0.9883934502297304,0.9883934502297304,0.7390391684673858,0.6759938975676048,1.0,0.7195523313632219,0.8599209058758736,0.8290783347437595,0.8599209058758736,0.8290783347437595,0.0,0.0,0.0,200000.0,0.2,init_storage_0.2maf
1.0,0.9482225656877898,1.0,2255.813562730647,0.16287878787878787,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.7272727272727273,0.2476051685785916,0.6495811335310455,0.9662645010667263,1.1064401578973269,61.53316765852161,858583.699008907,0.2343003672674723,858583.699008907,0.2343003672674723,1.0,0.9482225656877898,0.44272727272727264,1.0,0.9881925753733543,0.9881925753733543,0.7642130982718183,0.7074433387959761,1.0,0.687599510310037,0.8663990541191263,0.8376219595246641,0.8663990541191263,0.8376219595246641,0.0,0.0,0.0,300000.0,0.3,init_storage_0.3maf
1.0,0.9510561566202989,1.0,2265.7515466286977,0.1553030303030303,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.25663259859413745,0.6692790824075424,0.9669150915409412,1.0968304610089346,59.097101645493446,942532.0365513337,0.24876421369191334,942532.0365513337,0.24876421369191334,1.0,0.9510561566202989,0.5336363636363636,1.0,0.9884202820393294,0.9884202820393294,0.7873871557735793,0.73323599598325,1.0,0.6683143817441155,0.8855196617457984,0.8600230758357189,0.8855196617457984,0.8600230758357189,0.0,0.0,0.0,400000.0,0.4,init_storage_0.4maf
1.0,0.9554353426069037,0.9997422680412371,2273.9530143446163,0.14962121212121213,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.267833069995383,0.6898578259597773,0.9670349007072108,1.0817370278497893,54.534636291727786,1042720.2112492679,0.26531940772742885,1042720.2112492679,0.26531940772742885,1.0,0.9554353426069037,0.5336363636363636,1.0,0.9884622152475238,0.9884622152475238,0.8115974423056204,0.7652373428439514,0.9997422680412371,0.6462407896967615,0.8887032836276548,0.8649155090729799,0.8887032836276548,0.8649155090729799,0.0,0.0,0.0,500000.0,0.5,init_storage_0.5maf
1.0,0.9582689335394127,0.9997422680412371,2297.7041989115223,0.14772727272727273,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.27619074710877783,0.704828526967104,0.9672359543896546,1.069644275732763,50.97113688613064,1104951.5674488582,0.2721972477588535,1104951.5674488582,0.2721972477588535,1.0,0.9582689335394127,0.5336363636363636,1.0,0.9885325840363791,0.9885325840363791,0.8292100317260047,0.7891164203107939,0.9997422680412371,0.6370703363215287,0.891013706108628,0.8684515138326332,0.891013706108628,0.8684515138326332,0.0,0.0,0.0,600000.0,0.6,init_storage_0.6maf
1.0,0.9605873261205564,0.9997422680412371,2324.249878297776,0.14393939393939395,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.28504351822869356,0.719006503979207,0.9661147458721239,1.0598385630843843,48.3896963108441,1175890.2706671888,0.28112858665661905,1175890.2706671888,0.28112858665661905,1.0,0.9605873261205564,0.5336363636363636,1.0,0.9881401610552434,0.9881401610552434,0.84589000468142,0.8144100520819817,0.9997422680412371,0.6251618844578413,0.8933357671313433,0.8717693866367356,0.8933357671313433,0.8717693866367356,0.0,0.0,0.0,700000.0,0.7,init_storage_0.7maf
1.0,0.9639361154044307,0.9997422680412371,2331.668371107843,0.14204545454545456,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.2928930656404356,0.7303686380629762,0.9650354776383265,1.0532969261374316,47.22202760157203,1244111.8543596433,0.28964426626724465,1244111.8543596433,0.28964426626724465,1.0,0.9639361154044307,0.5336363636363636,1.0,0.9877624171734143,0.9877624171734143,0.8592572212505604,0.8368373304012446,0.9997422680412371,0.6138076449770071,0.8956317577073317,0.8748216812900219,0.8956317577073317,0.8748216812900219,0.0,0.0,0.0,800000.0,0.8,init_storage_0.8maf
1.0,0.9670273055126224,0.9997422680412371,2346.0888722363593,0.14204545454545456,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.3008932324396906,0.7406368400635469,0.9644733975310631,1.0477409506754336,46.11247427133385,1310433.5725595057,0.2974198469866177,1310433.5725595057,0.2974198469866177,1.0,0.9670273055126224,0.5336363636363636,1.0,0.9875656891358721,0.9875656891358721,0.8713374588982905,0.8596949498276876,0.9997422680412371,0.603440204017843,0.8979127973508169,0.8777514784402468,0.8979127973508169,0.8777514784402468,0.0,0.0,0.0,900000.0,0.9,init_storage_0.9maf
