date,initial_storage_af,initial_storage_maf,storage_af,storage_maf
2014-01-01,0.0,0.0,593.9256198347108,0.0005939256198347108
2014-01-02,0.0,0.0,195.77932278972037,0.00019577932278972036
2014-01-03,0.0,0.0,8.942606655182317e-10,8.942606655182317e-16
2014-01-04,0.0,0.0,4.53894699603552e-10,4.53894699603552e-16
2014-01-05,0.0,0.0,4.306457412894815e-10,4.3064574128948154e-16
2014-01-06,0.0,0.0,6.443769962061197e-10,6.443769962061197e-16
2014-01-07,0.0,0.0,3.9665337681071833e-10,3.966533768107183e-16
2014-01-08,0.0,0.0,4.318394530855585e-10,4.3183945308555847e-16
2014-01-09,0.0,0.0,4.376943252282217e-10,4.3769432522822173e-16
2014-01-10,0.0,0.0,4.376374818093609e-10,4.376374818093609e-16
2014-01-11,0.0,0.0,7.518110578530468e-10,7.518110578530468e-16
2014-01-12,0.0,0.0,3.913100954378024e-10,3.913100954378024e-16
2014-01-13,0.0,0.0,5.902620614506304e-10,5.902620614506304e-16
2014-01-14,0.0,0.0,5.667288860422559e-10,5.667288860422559e-16
2014-01-15,0.0,0.0,5.54564394406043e-10,5.54564394406043e-16
2014-01-16,0.0,0.0,4.656612873077393e-10,4.656612873077392e-16
2014-01-17,0.0,0.0,5.470610631164163e-10,5.470610631164164e-16
2014-01-18,0.0,0.0,5.568381311604753e-10,5.568381311604753e-16
2014-01-19,0.0,0.0,5.495621735462919e-10,5.495621735462919e-16
2014-01-20,0.0,0.0,5.54564394406043e-10,5.54564394406043e-16
2014-01-21,0.0,0.0,5.397851055022329e-10,5.397851055022329e-16
2014-01-22,0.0,0.0,5.165929906070232e-10,5.165929906070233e-16
2014-01-23,0.0,0.0,4.15695922129089e-10,4.15695922129089e-16
2014-01-24,0.0,0.0,3.8625103115919046e-10,3.8625103115919045e-16
2014-01-25,0.0,0.0,5.850324669154361e-10,5.850324669154361e-16
2014-01-26,0.0,0.0,4.844196155318059e-10,4.844196155318059e-16
2014-01-27,0.0,0.0,2.8558133635669947e-10,2.8558133635669946e-16
2014-01-28,0.0,0.0,5.20799403602723e-10,5.20799403602723e-16
2014-01-29,0.0,0.0,5.022684490540996e-10,5.022684490540996e-16
2014-01-30,0.0,0.0,5.165929906070232e-10,5.165929906070233e-16
2014-01-31,0.0,0.0,6.208438207977451e-10,6.208438207977451e-16
2014-02-01,0.0,0.0,7.652261047041975e-10,7.652261047041975e-16
2014-02-02,0.0,0.0,7.767084753140807e-10,7.767084753140808e-16
2014-02-03,0.0,0.0,4.4434500523493625e-10,4.443450052349362e-16
2014-02-04,0.0,0.0,4.810658538190182e-10,4.810658538190182e-16
2014-02-05,0.0,0.0,5.811671144329011e-10,5.811671144329012e-16
2014-02-06,0.0,0.0,5.114770829095505e-10,5.114770829095506e-16
2014-02-07,0.0,0.0,3.871605258609634e-10,3.871605258609634e-16
2014-02-08,0.0,0.0,5.718447937397286e-10,5.718447937397286e-16
2014-02-09,0.0,0.0,5.919673640164547e-10,5.919673640164546e-16
2014-02-10,0.0,0.0,4.95333551953081e-10,4.95333551953081e-16
2014-02-11,0.0,0.0,4.95333551953081e-10,4.95333551953081e-16
2014-02-12,0.0,0.0,5.80030246055685e-10,5.80030246055685e-16
2014-02-13,0.0,0.0,5.823039828101173e-10,5.823039828101173e-16
2014-02-14,0.0,0.0,6.591562851099297e-10,6.591562851099298e-16
2014-02-15,0.0,0.0,31.740765249107426,3.1740765249107427e-05
2014-02-16,0.0,0.0,8.932374839787371e-10,8.93237483978737e-16
2014-02-17,0.0,0.0,7.707967597525567e-10,7.707967597525566e-16
2014-02-18,0.0,0.0,6.699565346934833e-10,6.699565346934832e-16
2014-02-19,0.0,0.0,6.718892109347507e-10,6.718892109347508e-16
2014-02-20,0.0,0.0,5.856009011040442e-10,5.856009011040442e-16
2014-02-21,0.0,0.0,6.774598659831099e-10,6.774598659831099e-16
2014-02-22,0.0,0.0,6.831442078691907e-10,6.831442078691907e-16
2014-02-23,0.0,0.0,6.440359356929548e-10,6.440359356929548e-16
2014-02-24,0.0,0.0,7.443077265634201e-10,7.443077265634201e-16
