family,seed,eval_name,total_reward,mean_reward,sum_rc_dam_safety.spill_guard_warn98,mean_rc_dam_safety.spill_guard_warn98,sum_rc_storage_control.target_peak875_concave0_softupper98,mean_rc_storage_control.target_peak875_concave0_softupper98,sum_rc_hydropower.positive_discretionary_efficiency,mean_rc_hydropower.positive_discretionary_efficiency,sum_rc_flooding.penalty_caps_jon,mean_rc_flooding.penalty_caps_jon,sum_rc_niip.delivery_match_historic_hardmeet_b10oversoft_neg1_logoff025_jon,mean_rc_niip.delivery_match_historic_hardmeet_b10oversoft_neg1_logoff025_jon,sum_rc_esa_min_flow.green_logistic_jon,mean_rc_esa_min_flow.green_logistic_jon,sum_rc_esa_spring_peak_release.farmington_thresholds_actionproxy_smart_ledger_hammer_histfreq_stop_excess_strong,mean_rc_esa_spring_peak_release.farmington_thresholds_actionproxy_smart_ledger_hammer_histfreq_stop_excess_strong,dam_safety_frac_days_within_storage_bounds,esa_min_flow_frac_days_met,flooding_frac_days_met,spr_curve_mean_abs_error_cfs,spr_curve_frac_days_within_500cfs,spr_freq_years_meeting_10000cfs_5d,spr_freq_years_meeting_8000cfs_10d,spr_freq_years_meeting_5000cfs_21d,spr_freq_years_meeting_2500cfs_10d,spr_curve_mean_error_cfs,spr_target_frequency_10000cfs_5d,spr_overachievement_10000cfs_5d,spr_mean_total_window_days_above_10000cfs,spr_mean_frac_window_days_above_10000cfs,spr_target_frequency_8000cfs_10d,spr_overachievement_8000cfs_10d,spr_mean_total_window_days_above_8000cfs,spr_mean_frac_window_days_above_8000cfs,spr_target_frequency_5000cfs_21d,spr_overachievement_5000cfs_21d,spr_mean_total_window_days_above_5000cfs,spr_mean_frac_window_days_above_5000cfs,spr_target_frequency_2500cfs_10d,spr_overachievement_2500cfs_10d,spr_mean_total_window_days_above_2500cfs,spr_mean_frac_window_days_above_2500cfs,hydropower_frac_of_max_possible,storage_frac_of_max_possible,niip_frac_days_demand_met_in_window,niip_annual_volume_frac_of_contract,niip_mean_abs_daily_error_cfs,controlled_sj_waste_af,controlled_sj_waste_frac_of_sj,controlled_sj_unattributed_af,controlled_sj_unattributed_frac_of_sj,policy_dam_safety_score,policy_esa_score,policy_spr_score,policy_niip_contract_score,policy_niip_behavior_score,policy_niip_score,policy_storage_score,policy_hydropower_score,policy_flooding_score,policy_efficiency_score,policy_objective_alignment_score,policy_experiment_diagnostic_score,policy_overall_score,policy_viability_score,dam_safety_frac_days_below_min_storage,dam_safety_frac_days_above_max_storage,dam_safety_max_storage_range_water_year_af,frac_action_0_saturated,frac_action_1_saturated,frac_any_action_saturated,frac_release_capped_or_limited,frac_release_cap_penalty_pos,mean_release_cap_penalty,frac_release_phys_penalty_pos,mean_release_phys_penalty,frac_days_deadpool_blocked,frac_days_spilling,total_spill_af,mean_spill_af_when_spilling
reward_jon_p95_peak875_hdisceff,seed_000,eval__holdout_2014_2024_08_17,20064.87048512591,5.168694097147323,-59.38130054727527,-0.01529657407194108,8279.7530248489,2.132857554056904,1620.6415828195452,0.41747593581132025,-12.347649545354392,-0.003180744344501389,3131.8597987311314,0.8067645025067314,6594.309302558601,1.698688640535446,510.03572626036157,0.13138478265336465,0.9775888717156105,0.8799587841318908,0.967284904688305,2276.843429522118,0.17045454545454544,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.8181818181818182,-67.46636926179582,0.2,-0.018181818181818188,1.1818181818181819,0.02462121212121212,0.33,0.03363636363636363,6.0,0.125,0.5,-0.04545454545454547,12.909090909090908,0.268939393939394,0.8,0.018181818181818188,31.0,0.6458333333333334,0.28578945525790045,0.8006693433147928,0.894504466845078,1.0612176277167817,95.91795830786982,1488784.4984143525,0.35237253391999995,1488784.4984143525,0.35237253391999995,0.788620433266183,0.8799587841318908,0.8845454545454545,1.0,0.9630765633957773,0.9630765633957773,0.941963933311521,0.8165413007368585,0.967284904688305,0.5301699547733334,0.8771988724775889,0.8866279506702714,0.8771988724775889,0.8866279506702714,0.0,0.02241112828438949,594148.3999879267,0.0,0.2668727460072128,0.2668727460072128,0.0,0.0,0.0,0.0,0.0,0.0,0.005667181865018032,67009.28539803321,3045.8766090015097
reward_jon_p95_peak875_hdisceff,seed_001,eval__holdout_2014_2024_08_17,22083.92449302554,5.688800745240995,0.0,0.0,7014.674450449954,1.8069743561179685,1493.0094853098144,0.38459801270216754,-9.437435834556819,-0.0024310756915396237,5447.198250671737,1.403193779152946,6766.559298524953,1.743060097507716,1371.9204439036384,0.35340557545173584,1.0,1.0,0.9775888717156105,2211.089455557046,0.17045454545454544,0.18181818181818182,0.5454545454545454,0.45454545454545453,0.8181818181818182,-321.80763409777796,0.2,-0.018181818181818188,0.9090909090909091,0.01893939393939394,0.33,0.2154545454545454,6.2727272727272725,0.13068181818181815,0.5,-0.04545454545454547,11.181818181818182,0.23295454545454544,0.8,0.018181818181818188,29.272727272727273,0.6098484848484849,0.2575859551766062,0.6572337351949996,0.9256591004848499,1.2952748062292192,124.6842129913655,939992.7307350687,0.2439944876567917,939992.7307350687,0.2439944876567917,1.0,1.0,0.7027272727272728,1.0,0.9739806851696975,0.9739806851696975,0.7732161590529407,0.7359598719331606,0.9775888717156105,0.674674016457611,0.9240161557736579,0.8983406446671268,0.9240161557736579,0.8983406446671268,0.0,0.0,673934.312308713,0.4278722308088614,0.0,0.4278722308088614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_jon_p95_peak875_hdisceff,seed_002,eval__holdout_2014_2024_08_17,19843.661244483163,5.11171077910437,0.0,0.0,4867.651480964388,1.2539030090067975,1461.0373015652112,0.3763620045247839,-10.3326563199237,-0.0026616837506243433,7337.779463648838,1.890205941176929,6775.690188819441,1.7454122073208245,-588.1645341947913,-0.15151069917434087,1.0,1.0,0.9755280783101494,1787.6574081262443,0.3181818181818182,0.18181818181818182,0.5454545454545454,0.8181818181818182,1.0,447.70586473579436,0.2,-0.018181818181818188,1.0,0.020833333333333336,0.33,0.2154545454545454,6.363636363636363,0.13257575757575757,0.5,0.31818181818181823,21.09090909090909,0.43939393939393945,0.8,0.19999999999999996,30.636363636363637,0.6382575757575757,0.25250070574309946,0.510835659230196,0.9410367205148756,1.1640885833093828,68.96005892415224,1055668.0193613786,0.2238301867799604,1055668.0193613786,0.2238301867799604,1.0,1.0,0.31636363636363646,1.0,0.9793628521802065,0.9793628521802065,0.600983128506113,0.7214305878374271,0.9755280783101494,0.7015597509600529,0.8519385666277349,0.8040915438667587,0.8519385666277349,0.8040915438667587,0.0,0.0,675671.143509273,0.9064914992272025,0.0,0.9064914992272025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_jon_p95_peak875_hdisceff,seed_003,eval__holdout_2014_2024_08_17,22420.805500766328,5.775581015138157,0.0,0.0,5281.948778251632,1.3606256512755361,1571.730360447842,0.4048764452467393,-7.227173481658101,-0.0018617139313905464,6464.632050144368,1.66528388720875,6793.269066389787,1.7499405116923719,2316.4524190143566,0.5967162336461506,1.0,1.0,0.982225656877898,2118.4909142294164,0.19696969696969696,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.7272727272727273,-389.18219774893737,0.2,-0.1090909090909091,0.8181818181818182,0.017045454545454544,0.33,-0.1481818181818182,4.181818181818182,0.08712121212121213,0.5,-0.2272727272727273,12.272727272727273,0.2556818181818182,0.8,-0.07272727272727275,29.0,0.6041666666666667,0.26996852583806646,0.530492833915773,0.9160367178301473,1.2045888708496102,85.44712522439588,1206741.9700775272,0.2932857199158294,1206741.9700775272,0.2932857199158294,1.0,1.0,0.44272727272727264,1.0,0.9706128512405516,0.9706128512405516,0.6241092163714976,0.7713386452516185,0.982225656877898,0.6089523734455609,0.8793506559930471,0.8327571615371905,0.8793506559930471,0.8327571615371905,0.0,0.0,718435.683435976,0.7985574446161773,0.0,0.7985574446161773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_jon_p95_peak875_hdisceff,seed_004,eval__holdout_2014_2024_08_17,22319.925892100702,5.749594511102705,0.0,0.0,7737.704533838556,1.9932263095926213,1751.7445190209041,0.45124794410636376,-8.725037028435617,-0.0022475623463255067,5639.880645083109,1.4528286051218724,6762.352641748895,1.7419764661898234,436.96858943767256,0.11256274843834944,1.0,1.0,0.9778464708912932,2042.6023788937187,0.16666666666666666,0.18181818181818182,0.36363636363636365,0.5454545454545454,1.0,91.26251842025103,0.2,-0.018181818181818188,1.1818181818181819,0.024621212121212124,0.33,0.03363636363636363,5.2727272727272725,0.10984848484848485,0.5,0.045454545454545414,12.454545454545455,0.25946969696969696,0.8,0.19999999999999996,39.90909090909091,0.8314393939393938,0.30369730638142434,0.7198171095386058,0.9839642616515096,1.055795140017504,30.219458134731298,1209435.5140004756,0.2712655531053643,1209435.5140004756,0.2712655531053643,1.0,1.0,0.7027272727272729,1.0,0.9943874915780284,0.9943874915780284,0.8468436582807127,0.8677065896612124,0.9778464708912932,0.6383125958595142,0.933916479541438,0.9163849717167568,0.933916479541438,0.9163849717167568,0.0,0.0,679272.0409941397,0.5131375579598145,0.28413189077794954,0.6955177743431221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_jon_p95_peak875_hdisceff,seed_005,eval__holdout_2014_2024_08_17,24056.74980938861,6.196998920501961,0.0,0.0,5572.942180179574,1.4355853117412607,1765.605641704876,0.45481855788379083,-6.632151123210788,-0.0017084366623417793,8512.3909984963,2.192784904300953,6808.534060955975,1.7538727617094219,1403.909079175096,0.3616458215288758,1.0,1.0,0.982225656877898,1930.4629237362833,0.24431818181818182,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.7272727272727273,-339.4021030854095,0.2,-0.018181818181818188,0.9090909090909091,0.01893939393939394,0.33,-0.1481818181818182,3.727272727272727,0.07765151515151515,0.5,0.045454545454545414,13.636363636363637,0.2840909090909091,0.8,-0.07272727272727275,24.272727272727273,0.5056818181818182,0.3033022428890513,0.5481650991571203,0.9810600284420893,1.1340057070660778,56.39103404132168,1682150.9653206945,0.36996769266993007,1682150.9653206945,0.36996769266993007,1.0,1.0,0.7154545454545455,1.0,0.9933710099547313,0.9933710099547313,0.6449001166554357,0.8665778368258609,0.982225656877898,0.50670974310676,0.9364935953611153,0.8986952974325868,0.9364935953611153,0.8986952974325868,0.0,0.0,725755.9291374908,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_jon_p95_peak875_hdisceff,seed_006,eval__holdout_2014_2024_08_17,12675.807970234702,3.2652776842438698,0.0,0.0,6637.828141368214,1.709899057539468,2076.4618656167786,0.5348948649193144,-8.519988287761807,-0.0021947419597531702,-3218.8609583582493,-0.8291759295101105,6670.462605935107,1.7183056687107436,518.4363039606122,0.13354876454420717,1.0,0.9144770736733643,0.9703760947964967,2068.7574089192267,0.14393939393939395,0.18181818181818182,0.18181818181818182,0.5454545454545454,1.0,60.60778600581442,0.2,-0.018181818181818188,1.1818181818181819,0.02462121212121212,0.33,-0.1481818181818182,3.3636363636363638,0.07007575757575757,0.5,0.045454545454545414,12.909090909090908,0.2689393939393939,0.8,0.19999999999999996,38.36363636363637,0.7992424242424242,0.36191431753670994,0.6223980706277162,0.9190072766025819,0.7650328028134618,111.15013754582743,2417955.6831275374,0.4487010896181275,2417955.6831275374,0.4487010896181275,1.0,0.9144770736733643,0.5881818181818183,0.7650328028134618,0.8189238686396538,0.8189238686396538,0.7322330242679015,1.0,0.9703760947964967,0.4017318805091633,0.8635216844656554,0.8360586592655823,0.8635216844656554,0.8360586592655823,0.0,0.0,635354.2349704513,0.0,0.45414734672849044,0.45414734672849044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_jon_p95_peak875_hdisceff,seed_007,eval__holdout_2014_2024_08_17,20575.968838051787,5.300352611553784,0.0,0.0,5004.781530140449,1.2892275966358704,1651.226386883855,0.4253545561267014,-6.270941541194915,-0.0016153893717658204,6029.740953287446,1.553256299146689,6813.64134919247,1.7551883949491165,1082.8495600887602,0.2789411540671716,1.0,1.0,0.9848016486347244,2076.4659994183617,0.19507575757575757,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.6363636363636364,-376.9333085149075,0.2,-0.018181818181818188,1.4545454545454546,0.030303030303030307,0.33,-0.1481818181818182,3.909090909090909,0.08143939393939394,0.5,-0.04545454545454547,11.636363636363637,0.24242424242424246,0.8,-0.1636363636363637,25.181818181818183,0.5246212121212122,0.28356970408446763,0.5152460834992478,0.9575334244772299,1.2957564157866257,124.67892579329073,1452978.8186241016,0.33524005504042215,1452978.8186241016,0.33524005504042215,1.0,1.0,0.6245454545454544,1.0,0.9851366985670305,0.9851366985670305,0.6061718629402916,0.8101991545270504,0.9848016486347244,0.5530132599461037,0.9157917269037997,0.8723036570746148,0.9157917269037997,0.8723036570746148,0.0,0.0,672584.5255389253,0.15558990211231324,0.0,0.15558990211231324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_jon_p95_peak875_hdisceff,seed_008,eval__holdout_2014_2024_08_17,19369.177185919794,4.989484076743893,0.0,0.0,5577.233892783968,1.4366908533704195,1665.7222470896716,0.42908867776653054,-9.497649824358524,-0.0024465867656771056,3944.738490382695,1.0161613834061554,6797.822003555384,1.7511133445531644,1393.1582019324362,0.35887640441330143,1.0,1.0,0.9763008758371973,2286.035553775201,0.11742424242424243,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.7272727272727273,-225.40701767440999,0.2,-0.018181818181818188,1.0909090909090908,0.022727272727272728,0.33,0.03363636363636363,5.181818181818182,0.10795454545454546,0.5,-0.04545454545454547,11.636363636363637,0.2424242424242424,0.8,-0.07272727272727275,29.90909090909091,0.6231060606060606,0.2862899475076325,0.5488458989192826,0.9781026821536914,1.243064746023254,107.28907479323507,1429340.681361897,0.32341938307940943,1429340.681361897,0.32341938307940943,1.0,1.0,0.83,1.0,0.992335938753792,0.992335938753792,0.6457010575520972,0.8179712785932357,0.9763008758371973,0.5687741558941208,0.9534037449156159,0.9187509012274899,0.9534037449156159,0.9187509012274899,0.0,0.0,699581.8931598989,0.9067490984028851,0.4034003091190108,0.9142194744976816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_jon_p95_peak875_hdisceff,seed_009,eval__holdout_2014_2024_08_17,22704.808067735794,5.848739842281245,0.0,0.0,6731.496362026277,1.7340279139686443,1772.1962846453266,0.4565163020724695,-10.272766279224307,-0.0026462561255085797,6124.673117759998,1.5777107464605866,6791.31380519179,1.7494368380195235,1295.4012643916258,0.33369429788552957,1.0,1.0,0.9732096857290057,2256.3222367070766,0.14204545454545456,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.7272727272727273,-127.01617519207525,0.2,-0.018181818181818188,1.0,0.020833333333333336,0.33,0.12454545454545451,6.363636363636363,0.13257575757575757,0.5,-0.2272727272727273,9.454545454545455,0.19696969696969696,0.8,-0.07272727272727275,31.90909090909091,0.6647727272727273,0.3073971240056874,0.6318410218025079,0.985048745611672,1.0972524073453254,44.70839877754141,1631124.5549876443,0.3553692221614253,1631124.5549876443,0.3553692221614253,1.0,1.0,0.5572727272727273,1.0,0.9947670609640852,0.9947670609640852,0.7433423785911858,0.878277497159107,0.9732096857290057,0.526174370451433,0.9076948720499418,0.8773165546508868,0.9076948720499418,0.8773165546508868,0.0,0.0,676077.9488943107,0.5772797527047914,0.3997939206594539,0.7619783616692427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
