,Elevation (ft),Capacity (ac-ft),Area (ac)
202,5777.02,1019.88,517.57
203,5777.03,1025.05,517.7
204,5777.04,1030.23,517.83
205,5777.05,1035.41,517.97
206,5777.06,1040.59,518.1
207,5777.07,1045.77,518.23
208,5777.08,1050.95,518.37
209,5777.09,1056.14,518.5
210,5777.1,1061.32,518.63
211,5777.110000000001,1066.51,518.77
212,5777.120000000001,1071.7,518.9
213,5777.13,1076.89,519.03
214,5777.14,1082.08,519.17
215,5777.150000000001,1087.27,519.3
216,5777.160000000001,1092.46,519.43
217,5777.17,1097.66,519.57
218,5777.18,1102.85,519.7
219,5777.1900000000005,1108.05,519.83
220,5777.2,1113.25,519.97
221,5777.21,1118.44,520.1
222,5777.22,1123.65,520.23
223,5777.23,1128.85,520.37
224,5777.24,1134.05,520.5
225,5777.25,1139.25,520.63
226,5777.26,1144.46,520.76
227,5777.2699999999995,1149.67,520.9
228,5777.28,1154.88,521.03
229,5777.29,1160.08,521.16
230,5777.3,1165.3,521.3
231,5777.31,1170.51,521.43
232,5777.320000000001,1175.72,521.56
233,5777.33,1180.94,521.7
234,5777.34,1186.15,521.83
235,5777.35,1191.37,521.96
236,5777.360000000001,1196.59,522.1
237,5777.37,1201.81,522.23
238,5777.38,1207.03,522.36
239,5777.39,1212.25,522.5
240,5777.4,1217.47,522.63
241,5777.41,1222.7,522.76
242,5777.42,1227.92,522.9
243,5777.429999999999,1233.15,523.03
244,5777.44,1238.38,523.16
245,5777.45,1243.61,523.3
246,5777.46,1248.84,523.43
247,5777.469999999999,1254.07,523.56
248,5777.48,1259.31,523.7
249,5777.49,1264.54,523.83
250,5777.5,1269.78,523.96
251,5777.51,1275.02,524.1
252,5777.52,1280.26,524.23
253,5777.53,1285.5,524.36
254,5777.54,1290.74,524.5
255,5777.55,1295.98,524.63
256,5777.56,1301.22,524.76
257,5777.57,1306.47,524.9
258,5777.58,1311.72,525.03
259,5777.59,1316.96,525.16
260,5777.6,1322.21,525.3
261,5777.610000000001,1327.46,525.43
262,5777.620000000001,1332.71,525.56
263,5777.63,1337.97,525.7
264,5777.64,1343.22,525.83
265,5777.650000000001,1348.48,525.96
266,5777.660000000001,1353.73,526.1
267,5777.67,1358.99,526.23
268,5777.68,1364.25,526.36
269,5777.6900000000005,1369.51,526.5
270,5777.7,1374.77,526.63
271,5777.71,1380.04,526.76
272,5777.72,1385.3,526.9
273,5777.73,1390.57,527.03
274,5777.74,1395.83,527.16
275,5777.75,1401.1,527.3
276,5777.76,1406.37,527.43
277,5777.7699999999995,1411.64,527.56
278,5777.78,1416.91,527.7
279,5777.79,1422.19,527.83
280,5777.8,1427.46,527.96
281,5777.81,1432.74,528.1
282,5777.820000000001,1438.02,528.23
283,5777.83,1443.29,528.36
284,5777.84,1448.57,528.5
285,5777.85,1453.86,528.63
286,5777.860000000001,1459.14,528.76
287,5777.87,1464.42,528.9
288,5777.88,1469.71,529.03
289,5777.89,1474.99,529.16
290,5777.9,1480.28,529.3
291,5777.91,1485.57,529.43
292,5777.92,1490.86,529.56
293,5777.929999999999,1496.15,529.7
294,5777.94,1501.44,529.83
295,5777.95,1506.74,529.96
296,5777.96,1512.03,530.1
297,5777.969999999999,1517.33,530.23
298,5777.98,1522.63,530.36
299,5777.99,1527.93,530.5
300,5778.0,1533.23,530.63
301,5778.01,1538.53,530.78
302,5778.02,1543.84,530.94
303,5778.03,1549.15,531.09
304,5778.04,1554.46,531.25
305,5778.05,1559.78,531.4
306,5778.06,1565.09,531.56
307,5778.07,1570.41,531.72
308,5778.08,1575.72,531.87
309,5778.09,1581.04,532.03
310,5778.1,1586.36,532.18
311,5778.110000000001,1591.69,532.34
312,5778.120000000001,1597.01,532.49
313,5778.13,1602.34,532.65
314,5778.14,1607.66,532.8
315,5778.150000000001,1612.99,532.96
316,5778.160000000001,1618.32,533.11
317,5778.17,1623.65,533.27
318,5778.18,1628.99,533.42
319,5778.1900000000005,1634.32,533.58
320,5778.2,1639.66,533.73
321,5778.21,1644.99,533.89
